state,residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state
1,Rural,dm_screened,51.8,49.5,54.1,Proportion,"51.8 (49.5, 54.1)",44116,,NA,Jammu & Kashmir
1,Rural,dm_disease,4,3.6,4.5,Proportion,"4 (3.6, 4.5)",44116,,NA,Jammu & Kashmir
1,Rural,dm_diagnosed,3.5,3.1,3.9,Proportion,"3.5 (3.1, 3.9)",44116,,NA,Jammu & Kashmir
1,Rural,dm_treated,2.1,1.8,2.3,Proportion,"2.1 (1.8, 2.3)",44116,,NA,Jammu & Kashmir
1,Rural,dm_controlled,1.5,1.3,1.8,Proportion,"1.5 (1.3, 1.8)",44116,,NA,Jammu & Kashmir
1,Urban,dm_screened,56.5,52.2,60.9,Proportion,"56.5 (52.2, 60.9)",9935,,NA,Jammu & Kashmir
1,Urban,dm_disease,5.1,4.3,5.9,Proportion,"5.1 (4.3, 5.9)",9935,,NA,Jammu & Kashmir
1,Urban,dm_diagnosed,4.7,3.8,5.5,Proportion,"4.7 (3.8, 5.5)",9935,,NA,Jammu & Kashmir
1,Urban,dm_treated,2.9,2.3,3.6,Proportion,"2.9 (2.3, 3.6)",9935,,NA,Jammu & Kashmir
1,Urban,dm_controlled,2.2,1.6,2.7,Proportion,"2.2 (1.6, 2.7)",9935,,NA,Jammu & Kashmir
2,Rural,dm_screened,51.1,48.9,53.4,Proportion,"51.1 (48.9, 53.4)",24969,,NA,Himachal Pradesh
2,Rural,dm_disease,6.2,5.6,6.8,Proportion,"6.2 (5.6, 6.8)",24969,,NA,Himachal Pradesh
2,Rural,dm_diagnosed,4.7,4.2,5.2,Proportion,"4.7 (4.2, 5.2)",24969,,NA,Himachal Pradesh
2,Rural,dm_treated,2.9,2.6,3.3,Proportion,"2.9 (2.6, 3.3)",24969,,NA,Himachal Pradesh
2,Rural,dm_controlled,1.6,1.4,1.9,Proportion,"1.6 (1.4, 1.9)",24969,,NA,Himachal Pradesh
2,Urban,dm_screened,58.3,53,63.5,Proportion,"58.3 (53, 63.5)",2087,,NA,Himachal Pradesh
2,Urban,dm_disease,7.5,5.5,9.5,Proportion,"7.5 (5.5, 9.5)",2087,,NA,Himachal Pradesh
2,Urban,dm_diagnosed,6.2,4.5,7.9,Proportion,"6.2 (4.5, 7.9)",2087,,NA,Himachal Pradesh
2,Urban,dm_treated,5,3.6,6.3,Proportion,"5 (3.6, 6.3)",2087,,NA,Himachal Pradesh
2,Urban,dm_controlled,3.2,1.9,4.4,Proportion,"3.2 (1.9, 4.4)",2087,,NA,Himachal Pradesh
3,Rural,dm_screened,50.7,48.5,52.9,Proportion,"50.7 (48.5, 52.9)",34594,,NA,Punjab
3,Rural,dm_disease,6.5,6.1,6.9,Proportion,"6.5 (6.1, 6.9)",34594,,NA,Punjab
3,Rural,dm_diagnosed,4.8,4.4,5.1,Proportion,"4.8 (4.4, 5.1)",34594,,NA,Punjab
3,Rural,dm_treated,3.4,3.1,3.7,Proportion,"3.4 (3.1, 3.7)",34594,,NA,Punjab
3,Rural,dm_controlled,1.4,1.2,1.6,Proportion,"1.4 (1.2, 1.6)",34594,,NA,Punjab
3,Urban,dm_screened,58.8,55.6,62,Proportion,"58.8 (55.6, 62)",15209,,NA,Punjab
3,Urban,dm_disease,8.4,7.6,9.2,Proportion,"8.4 (7.6, 9.2)",15209,,NA,Punjab
3,Urban,dm_diagnosed,6.5,5.7,7.2,Proportion,"6.5 (5.7, 7.2)",15209,,NA,Punjab
3,Urban,dm_treated,5,4.4,5.6,Proportion,"5 (4.4, 5.6)",15209,,NA,Punjab
3,Urban,dm_controlled,2.1,1.8,2.5,Proportion,"2.1 (1.8, 2.5)",15209,,NA,Punjab
4,Rural,dm_screened,52.3,52.3,52.3,Proportion,"52.3 (52.3, 52.3)",44,,NA,Chandigarh
4,Rural,dm_disease,11.4,11.4,11.4,Proportion,"11.4 (11.4, 11.4)",44,,NA,Chandigarh
4,Rural,dm_diagnosed,6.8,6.8,6.8,Proportion,"6.8 (6.8, 6.8)",44,,NA,Chandigarh
4,Rural,dm_treated,6.8,6.8,6.8,Proportion,"6.8 (6.8, 6.8)",44,,NA,Chandigarh
4,Rural,dm_controlled,6.8,6.8,6.8,Proportion,"6.8 (6.8, 6.8)",44,,NA,Chandigarh
4,Urban,dm_screened,63,54.8,71.2,Proportion,"63 (54.8, 71.2)",1307,,NA,Chandigarh
4,Urban,dm_disease,9.8,7.6,11.9,Proportion,"9.8 (7.6, 11.9)",1307,,NA,Chandigarh
4,Urban,dm_diagnosed,7.3,5.4,9.2,Proportion,"7.3 (5.4, 9.2)",1307,,NA,Chandigarh
4,Urban,dm_treated,6.3,4.6,7.9,Proportion,"6.3 (4.6, 7.9)",1307,,NA,Chandigarh
4,Urban,dm_controlled,2.8,1.5,4,Proportion,"2.8 (1.5, 4)",1307,,NA,Chandigarh
5,Rural,dm_screened,34.3,31.8,36.9,Proportion,"34.3 (31.8, 36.9)",22928,,NA,Uttarakhand
5,Rural,dm_disease,5,4.5,5.5,Proportion,"5 (4.5, 5.5)",22928,,NA,Uttarakhand
5,Rural,dm_diagnosed,3.6,3.2,4.1,Proportion,"3.6 (3.2, 4.1)",22928,,NA,Uttarakhand
5,Rural,dm_treated,2.3,2,2.6,Proportion,"2.3 (2, 2.6)",22928,,NA,Uttarakhand
5,Rural,dm_controlled,1.1,0.9,1.3,Proportion,"1.1 (0.9, 1.3)",22928,,NA,Uttarakhand
5,Urban,dm_screened,49.2,44.2,54.2,Proportion,"49.2 (44.2, 54.2)",4888,,NA,Uttarakhand
5,Urban,dm_disease,9.5,8.3,10.7,Proportion,"9.5 (8.3, 10.7)",4888,,NA,Uttarakhand
5,Urban,dm_diagnosed,7.3,6.2,8.4,Proportion,"7.3 (6.2, 8.4)",4888,,NA,Uttarakhand
5,Urban,dm_treated,5.5,4.5,6.4,Proportion,"5.5 (4.5, 6.4)",4888,,NA,Uttarakhand
