residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata
Rural,dm_screened,82.3,81.8,82.9,Proportion,"82.3 (81.8, 82.9)",58235,,NA
Rural,dm_diagnosed,70.4,69.7,71.1,Proportion,"70.4 (69.7, 71.1)",58235,,NA
Urban,dm_screened,89.6,89,90.2,Proportion,"89.6 (89, 90.2)",33579,,NA
Urban,dm_diagnosed,77.4,76.5,78.2,Proportion,"77.4 (76.5, 78.2)",33579,,NA
Rural,dm_screened,83.3,82.6,84,Proportion,"83.3 (82.6, 84)",29858,sex,Female
Rural,dm_diagnosed,71.8,70.9,72.6,Proportion,"71.8 (70.9, 72.6)",29858,sex,Female
Rural,dm_screened,81.2,80.6,81.9,Proportion,"81.2 (80.6, 81.9)",28377,sex,Male
Rural,dm_diagnosed,68.9,68,69.8,Proportion,"68.9 (68, 69.8)",28377,sex,Male
Urban,dm_screened,90.5,89.8,91.2,Proportion,"90.5 (89.8, 91.2)",17568,sex,Female
Urban,dm_diagnosed,78.5,77.5,79.5,Proportion,"78.5 (77.5, 79.5)",17568,sex,Female
Urban,dm_screened,88.6,87.9,89.4,Proportion,"88.6 (87.9, 89.4)",16011,sex,Male
Urban,dm_diagnosed,76.1,75,77.2,Proportion,"76.1 (75, 77.2)",16011,sex,Male
Rural,dm_screened,79,77.7,80.2,Proportion,"79 (77.7, 80.2)",10253,age_category,18-39
Rural,dm_diagnosed,67.7,66.2,69.3,Proportion,"67.7 (66.2, 69.3)",10253,age_category,18-39
Rural,dm_screened,81.5,80.9,82.2,Proportion,"81.5 (80.9, 82.2)",33782,age_category,40-64
Rural,dm_diagnosed,69,68.2,69.8,Proportion,"69 (68.2, 69.8)",33782,age_category,40-64
Rural,dm_screened,86.5,85.7,87.2,Proportion,"86.5 (85.7, 87.2)",14200,age_category,65 plus
Rural,dm_diagnosed,75.5,74.5,76.5,Proportion,"75.5 (74.5, 76.5)",14200,age_category,65 plus
Urban,dm_screened,81.2,79.5,83,Proportion,"81.2 (79.5, 83)",4998,age_category,18-39
Urban,dm_diagnosed,68.1,65.8,70.4,Proportion,"68.1 (65.8, 70.4)",4998,age_category,18-39
Urban,dm_screened,89.7,89,90.4,Proportion,"89.7 (89, 90.4)",20236,age_category,40-64
Urban,dm_diagnosed,76.5,75.5,77.4,Proportion,"76.5 (75.5, 77.4)",20236,age_category,40-64
Urban,dm_screened,94.1,93.3,94.8,Proportion,"94.1 (93.3, 94.8)",8345,age_category,65 plus
Urban,dm_diagnosed,84.5,83.4,85.7,Proportion,"84.5 (83.4, 85.7)",8345,age_category,65 plus
Rural,dm_screened,86.1,84.2,88,Proportion,"86.1 (84.2, 88)",4656,education,Higher
Rural,dm_diagnosed,74.2,72.1,76.3,Proportion,"74.2 (72.1, 76.3)",4656,education,Higher
Rural,dm_screened,78.9,78,79.7,Proportion,"78.9 (78, 79.7)",20924,education,No education
Rural,dm_diagnosed,67.7,66.7,68.7,Proportion,"67.7 (66.7, 68.7)",20924,education,No education
Rural,dm_screened,82.8,81.8,83.9,Proportion,"82.8 (81.8, 83.9)",10591,education,Primary
Rural,dm_diagnosed,71,69.7,72.3,Proportion,"71 (69.7, 72.3)",10591,education,Primary
Rural,dm_screened,84.5,83.8,85.2,Proportion,"84.5 (83.8, 85.2)",22064,education,Secondary
Rural,dm_diagnosed,71.7,70.8,72.6,Proportion,"71.7 (70.8, 72.6)",22064,education,Secondary
Urban,dm_screened,91.5,90.4,92.6,Proportion,"91.5 (90.4, 92.6)",6385,education,Higher
Urban,dm_diagnosed,79.9,78.3,81.4,Proportion,"79.9 (78.3, 81.4)",6385,education,Higher
Urban,dm_screened,87.4,86.3,88.6,Proportion,"87.4 (86.3, 88.6)",6345,education,No education
Urban,dm_diagnosed,74.7,73.1,76.3,Proportion,"74.7 (73.1, 76.3)",6345,education,No education
Urban,dm_screened,89.8,88.7,91,Proportion,"89.8 (88.7, 91)",5170,education,Primary
Urban,dm_diagnosed,78.1,76.5,79.8,Proportion,"78.1 (76.5, 79.8)",5170,education,Primary
Urban,dm_screened,89.7,89,90.5,Proportion,"89.7 (89, 90.5)",15679,education,Secondary
Urban,dm_diagnosed,77.2,76.1,78.3,Proportion,"77.2 (76.1, 78.3)",15679,education,Secondary
Rural,dm_screened,83.6,82.6,84.6,Proportion,"83.6 (82.6, 84.6)",16461,caste,General
Rural,dm_diagnosed,71.8,70.7,73,Proportion,"71.8 (70.7, 73)",16461,caste,General
Rural,dm_screened,83.7,82.9,84.4,Proportion,"83.7 (82.9, 84.4)",23846,caste,OBC
Rural,dm_diagnosed,71.5,70.6,72.5,Proportion,"71.5 (70.6, 72.5)",23846,caste,OBC
Rural,dm_screened,80.9,79.7,82,Proportion,"80.9 (79.7, 82)",10725,caste,Schedule Caste
Rural,dm_diagnosed,68.9,67.5,70.3,Proportion,"68.9 (67.5, 70.3)",10725,caste,Schedule Caste
Rural,dm_screened,71,69,73.1,Proportion,"71 (69, 73.1)",7203,caste,Schedule Tribe
Rural,dm_diagnosed,59.7,57.4,61.9,Proportion,"59.7 (57.4, 61.9)",7203,caste,Schedule Tribe
Urban,dm_screened,89.9,89,90.8,Proportion,"89.9 (89, 90.8)",11828,caste,General
Urban,dm_diagnosed,78.6,77.3,79.8,Proportion,"78.6 (77.3, 79.8)",11828,caste,General
Urban,dm_screened,90.5,89.7,91.2,Proportion,"90.5 (89.7, 91.2)",14329,caste,OBC
Urban,dm_diagnosed,77.9,76.8,79,Proportion,"77.9 (76.8, 79)",14329,caste,OBC
Urban,dm_screened,87.1,85.6,88.7,Proportion,"87.1 (85.6, 88.7)",4881,caste,Schedule Caste
Urban,dm_diagnosed,73.5,71.5,75.6,Proportion,"73.5 (71.5, 75.6)",4881,caste,Schedule Caste
Urban,dm_screened,87,84.2,89.9,Proportion,"87 (84.2, 89.9)",2541,caste,Schedule Tribe
Urban,dm_diagnosed,75.1,71.2,79.1,Proportion,"75.1 (71.2, 79.1)",2541,caste,Schedule Tribe
Rural,dm_screened,81.8,81.2,82.4,Proportion,"81.8 (81.2, 82.4)",44806,religion,Hindu
Rural,dm_diagnosed,69.8,69,70.6,Proportion,"69.8 (69, 70.6)",44806,religion,Hindu
Rural,dm_screened,81.7,79.8,83.5,Proportion,"81.7 (79.8, 83.5)",6381,religion,Muslim
Rural,dm_diagnosed,70.4,68.2,72.5,Proportion,"70.4 (68.2, 72.5)",6381,religion,Muslim
Rural,dm_screened,88.9,87.5,90.3,Proportion,"88.9 (87.5, 90.3)",7048,religion,Other
Rural,dm_diagnosed,76.9,74.8,78.9,Proportion,"76.9 (74.8, 78.9)",7048,religion,Other
Urban,dm_screened,89.4,88.7,90.1,Proportion,"89.4 (88.7, 90.1)",25147,religion,Hindu
Urban,dm_diagnosed,76.8,75.8,77.7,Proportion,"76.8 (75.8, 77.7)",25147,religion,Hindu
Urban,dm_screened,88.8,87.2,90.3,Proportion,"88.8 (87.2, 90.3)",4651,religion,Muslim
Urban,dm_diagnosed,77.1,75,79.1,Proportion,"77.1 (75, 79.1)",4651,religion,Muslim
Urban,dm_screened,93.8,92.4,95.2,Proportion,"93.8 (92.4, 95.2)",3781,religion,Other
Urban,dm_diagnosed,83.9,81.7,86.1,Proportion,"83.9 (81.7, 86.1)",3781,religion,Other
Rural,dm_screened,77.1,75.7,78.5,Proportion,"77.1 (75.7, 78.5)",7948,swealthq_ur,1
Rural,dm_diagnosed,66.5,64.9,68.2,Proportion,"66.5 (64.9, 68.2)",7948,swealthq_ur,1
Rural,dm_screened,78.9,77.7,80.1,Proportion,"78.9 (77.7, 80.1)",9039,swealthq_ur,2
Rural,dm_diagnosed,67.7,66.3,69.2,Proportion,"67.7 (66.3, 69.2)",9039,swealthq_ur,2
Rural,dm_screened,80.5,79.4,81.5,Proportion,"80.5 (79.4, 81.5)",10610,swealthq_ur,3
Rural,dm_diagnosed,68.2,66.9,69.5,Proportion,"68.2 (66.9, 69.5)",10610,swealthq_ur,3
Rural,dm_screened,84.1,83.2,85,Proportion,"84.1 (83.2, 85)",12792,swealthq_ur,4
Rural,dm_diagnosed,71.1,69.9,72.3,Proportion,"71.1 (69.9, 72.3)",12792,swealthq_ur,4
Rural,dm_screened,85.9,85.1,86.8,Proportion,"85.9 (85.1, 86.8)",17846,swealthq_ur,5
Rural,dm_diagnosed,74,72.9,75,Proportion,"74 (72.9, 75)",17846,swealthq_ur,5
Urban,dm_screened,85.3,83.6,86.9,Proportion,"85.3 (83.6, 86.9)",4507,swealthq_ur,1
Urban,dm_diagnosed,70.7,68.4,73,Proportion,"70.7 (68.4, 73)",4507,swealthq_ur,1
Urban,dm_screened,86.4,85.1,87.7,Proportion,"86.4 (85.1, 87.7)",5883,swealthq_ur,2
Urban,dm_diagnosed,73.7,71.9,75.5,Proportion,"73.7 (71.9, 75.5)",5883,swealthq_ur,2
Urban,dm_screened,88.7,87.5,90,Proportion,"88.7 (87.5, 90)",7023,swealthq_ur,3
Urban,dm_diagnosed,76.5,75,78,Proportion,"76.5 (75, 78)",7023,swealthq_ur,3
Urban,dm_screened,90.5,89.5,91.6,Proportion,"90.5 (89.5, 91.6)",7744,swealthq_ur,4
Urban,dm_diagnosed,78.3,76.8,79.8,Proportion,"78.3 (76.8, 79.8)",7744,swealthq_ur,4
Urban,dm_screened,93.7,92.9,94.6,Proportion,"93.7 (92.9, 94.6)",8422,swealthq_ur,5
Urban,dm_diagnosed,82.8,81.5,84.1,Proportion,"82.8 (81.5, 84.1)",8422,swealthq_ur,5
Rural,dm_treated,64.8,63.5,66.2,Proportion,"64.8 (63.5, 66.2)",41065,,NA
Rural,dm_controlled,37.1,36.1,38,Proportion,"37.1 (36.1, 38)",41065,,NA
Urban,dm_treated,78,76.4,79.5,Proportion,"78 (76.4, 79.5)",26144,,NA
Urban,dm_controlled,45.2,44,46.5,Proportion,"45.2 (44, 46.5)",26144,,NA
Rural,dm_treated,64.1,62.6,65.6,Proportion,"64.1 (62.6, 65.6)",21508,sex,Female
Rural,dm_controlled,36.2,35.1,37.3,Proportion,"36.2 (35.1, 37.3)",21508,sex,Female
Rural,dm_treated,65.6,64.3,67,Proportion,"65.6 (64.3, 67)",19557,sex,Male
Rural,dm_controlled,38,36.9,39.1,Proportion,"38 (36.9, 39.1)",19557,sex,Male
Urban,dm_treated,78.2,76.5,79.9,Proportion,"78.2 (76.5, 79.9)",13884,sex,Female
Urban,dm_controlled,45.2,43.7,46.7,Proportion,"45.2 (43.7, 46.7)",13884,sex,Female
Urban,dm_treated,77.7,76,79.3,Proportion,"77.7 (76, 79.3)",12260,sex,Male
Urban,dm_controlled,45.2,43.7,46.8,Proportion,"45.2 (43.7, 46.8)",12260,sex,Male
Rural,dm_treated,36,34,38.1,Proportion,"36 (34, 38.1)",7122,age_category,18-39
Rural,dm_controlled,23.1,21.5,24.7,Proportion,"23.1 (21.5, 24.7)",7122,age_category,18-39
Rural,dm_treated,68.8,67.5,70.1,Proportion,"68.8 (67.5, 70.1)",23324,age_category,40-64
Rural,dm_controlled,36.4,35.4,37.4,Proportion,"36.4 (35.4, 37.4)",23324,age_category,40-64
Rural,dm_treated,74.1,72.7,75.5,Proportion,"74.1 (72.7, 75.5)",10619,age_category,65 plus
Rural,dm_controlled,47.1,45.8,48.5,Proportion,"47.1 (45.8, 48.5)",10619,age_category,65 plus
Urban,dm_treated,49,45.3,52.7,Proportion,"49 (45.3, 52.7)",3507,age_category,18-39
Urban,dm_controlled,30,27.1,32.9,Proportion,"30 (27.1, 32.9)",3507,age_category,18-39
Urban,dm_treated,80.5,79,81.9,Proportion,"80.5 (79, 81.9)",15570,age_category,40-64
Urban,dm_controlled,43.8,42.4,45.1,Proportion,"43.8 (42.4, 45.1)",15570,age_category,40-64
Urban,dm_treated,85.4,84,86.8,Proportion,"85.4 (84, 86.8)",7067,age_category,65 plus
Urban,dm_controlled,54.9,53.2,56.7,Proportion,"54.9 (53.2, 56.7)",7067,age_category,65 plus
Rural,dm_treated,54.7,51.9,57.6,Proportion,"54.7 (51.9, 57.6)",3518,education,Higher
Rural,dm_controlled,31.4,29.2,33.7,Proportion,"31.4 (29.2, 33.7)",3518,education,Higher
Rural,dm_treated,65,63.5,66.5,Proportion,"65 (63.5, 66.5)",14161,education,No education
Rural,dm_controlled,38.2,36.9,39.5,Proportion,"38.2 (36.9, 39.5)",14161,education,No education
Rural,dm_treated,68.3,66.5,70.2,Proportion,"68.3 (66.5, 70.2)",7521,education,Primary
Rural,dm_controlled,39.1,37.5,40.7,Proportion,"39.1 (37.5, 40.7)",7521,education,Primary
Rural,dm_treated,65.2,63.7,66.7,Proportion,"65.2 (63.7, 66.7)",15865,education,Secondary
Rural,dm_controlled,36.3,35.1,37.5,Proportion,"36.3 (35.1, 37.5)",15865,education,Secondary
Urban,dm_treated,74.2,71.7,76.6,Proportion,"74.2 (71.7, 76.6)",5155,education,Higher
Urban,dm_controlled,46.9,44.6,49.3,Proportion,"46.9 (44.6, 49.3)",5155,education,Higher
Urban,dm_treated,78,76,80.1,Proportion,"78 (76, 80.1)",4772,education,No education
Urban,dm_controlled,43.7,41.7,45.8,Proportion,"43.7 (41.7, 45.8)",4772,education,No education
Urban,dm_treated,81,78.9,83.1,Proportion,"81 (78.9, 83.1)",4059,education,Primary
Urban,dm_controlled,45.6,43.2,47.9,Proportion,"45.6 (43.2, 47.9)",4059,education,Primary
Urban,dm_treated,78.5,76.8,80.1,Proportion,"78.5 (76.8, 80.1)",12158,education,Secondary
Urban,dm_controlled,45,43.4,46.6,Proportion,"45 (43.4, 46.6)",12158,education,Secondary
Rural,dm_treated,69.2,67.6,70.8,Proportion,"69.2 (67.6, 70.8)",12186,caste,General
Rural,dm_controlled,39.4,38,40.7,Proportion,"39.4 (38, 40.7)",12186,caste,General
Rural,dm_treated,64.8,62.8,66.7,Proportion,"64.8 (62.8, 66.7)",16893,caste,OBC
Rural,dm_controlled,37,35.6,38.3,Proportion,"37 (35.6, 38.3)",16893,caste,OBC
Rural,dm_treated,60.1,57.9,62.2,Proportion,"60.1 (57.9, 62.2)",7397,caste,Schedule Caste
Rural,dm_controlled,33.6,32,35.3,Proportion,"33.6 (32, 35.3)",7397,caste,Schedule Caste
Rural,dm_treated,58.3,54.8,61.8,Proportion,"58.3 (54.8, 61.8)",4589,caste,Schedule Tribe
Rural,dm_controlled,37.6,34.7,40.5,Proportion,"37.6 (34.7, 40.5)",4589,caste,Schedule Tribe
Urban,dm_treated,80.2,78.6,81.8,Proportion,"80.2 (78.6, 81.8)",9386,caste,General
Urban,dm_controlled,48.3,46.6,50.1,Proportion,"48.3 (46.6, 50.1)",9386,caste,General
