variable,estimate,lci,uci,type,est_ci,n,stratification,strata
dm_screened,87.8,87.4,88.2,Proportion,"87.8 (87.4, 88.2)",86458,,NA
dm_diagnosed,77.8,77.3,78.3,Proportion,"77.8 (77.3, 78.3)",86458,,NA
dm_screened,88.6,88.1,89.1,Proportion,"88.6 (88.1, 89.1)",44895,sex,Female
dm_diagnosed,78.9,78.2,79.5,Proportion,"78.9 (78.2, 79.5)",44895,sex,Female
dm_screened,86.9,86.4,87.4,Proportion,"86.9 (86.4, 87.4)",41563,sex,Male
dm_diagnosed,76.6,76,77.2,Proportion,"76.6 (76, 77.2)",41563,sex,Male
dm_screened,81.8,80.7,82.8,Proportion,"81.8 (80.7, 82.8)",14515,age_category,18-39
dm_diagnosed,71.4,70.1,72.7,Proportion,"71.4 (70.1, 72.7)",14515,age_category,18-39
dm_screened,87.7,87.2,88.1,Proportion,"87.7 (87.2, 88.1)",50627,age_category,40-64
dm_diagnosed,76.9,76.3,77.5,Proportion,"76.9 (76.3, 77.5)",50627,age_category,40-64
dm_screened,91.9,91.3,92.3,Proportion,"91.9 (91.3, 92.3)",21316,age_category,65 plus
dm_diagnosed,83.8,83.1,84.5,Proportion,"83.8 (83.1, 84.5)",21316,age_category,65 plus
dm_screened,91,89.9,91.9,Proportion,"91 (89.9, 91.9)",10571,education,Higher
dm_diagnosed,81.2,80,82.4,Proportion,"81.2 (80, 82.4)",10571,education,Higher
dm_screened,84.2,83.5,84.8,Proportion,"84.2 (83.5, 84.8)",25465,education,No education
dm_diagnosed,74.4,73.6,75.2,Proportion,"74.4 (73.6, 75.2)",25465,education,No education
dm_screened,88.2,87.4,88.9,Proportion,"88.2 (87.4, 88.9)",14792,education,Primary
dm_diagnosed,78.4,77.5,79.4,Proportion,"78.4 (77.5, 79.4)",14792,education,Primary
dm_screened,89.1,88.6,89.5,Proportion,"89.1 (88.6, 89.5)",35630,education,Secondary
dm_diagnosed,78.7,78,79.4,Proportion,"78.7 (78, 79.4)",35630,education,Secondary
dm_screened,89.1,88.5,89.7,Proportion,"89.1 (88.5, 89.7)",26730,caste,General
dm_diagnosed,79.7,78.9,80.5,Proportion,"79.7 (78.9, 80.5)",26730,caste,General
dm_screened,88.5,88,88.9,Proportion,"88.5 (88, 88.9)",36116,caste,OBC
dm_diagnosed,78.4,77.7,79,Proportion,"78.4 (77.7, 79)",36116,caste,OBC
dm_screened,86,85.1,86.8,Proportion,"86 (85.1, 86.8)",14621,caste,Schedule Caste
dm_diagnosed,75.1,74,76.2,Proportion,"75.1 (74, 76.2)",14621,caste,Schedule Caste
dm_screened,78.8,77.2,80.4,Proportion,"78.8 (77.2, 80.4)",8991,caste,Schedule Tribe
dm_diagnosed,68.9,66.9,70.8,Proportion,"68.9 (66.9, 70.8)",8991,caste,Schedule Tribe
dm_screened,87.4,87,87.8,Proportion,"87.4 (87, 87.8)",65695,religion,Hindu
dm_diagnosed,77.3,76.7,77.8,Proportion,"77.3 (76.7, 77.8)",65695,religion,Hindu
dm_screened,87.5,86.4,88.6,Proportion,"87.5 (86.4, 88.6)",10509,religion,Muslim
dm_diagnosed,77.9,76.5,79.3,Proportion,"77.9 (76.5, 79.3)",10509,religion,Muslim
dm_screened,92.3,91.3,93.2,Proportion,"92.3 (91.3, 93.2)",10254,religion,Other
