age_category,variable,sex,est,lci,uci
"[18,39]",prediabetes,Female,0.05511071581566138,0.05399051671243449,0.05623091491888828
"(39,64]",prediabetes,Female,0.1477373478599741,0.14580041893301893,0.1496742767869293
"(64,98]",prediabetes,Female,0.203651756429566,0.1995113439412462,0.20779216891788582
"[18,39]",prehypertension,Female,0.1149278254831769,0.11339824075290711,0.11645741021344669
"(39,64]",prehypertension,Female,0.217974689575961,0.21568643478667454,0.22026294436524746
"(64,98]",prehypertension,Female,0.2244540551350042,0.21997482154700196,0.22893328872300642
"[18,39]",dmscreened,Female,0.27123617055994814,0.26753263336397415,0.27493970775592214
"(39,64]",dmscreened,Female,0.38757661596781773,0.38334056094661606,0.3918126709890194
"(64,98]",dmscreened,Female,0.41157776547978336,0.4057902585757372,0.41736527238382953
"[18,39]",dmdisease,Female,0.020719372805929188,0.01989227974843838,0.021546465863419996
"(39,64]",dmdisease,Female,0.09965224711498114,0.09776170663307236,0.10154278759688991
"(64,98]",dmdisease,Female,0.14744575601616594,0.1436156048200484,0.15127590721228348
"[18,39]",dmdiagnosed,Female,0.014850202218298381,0.01408676530910254,0.015613639127494222
"(39,64]",dmdiagnosed,Female,0.07268322120120738,0.07100156595179032,0.07436487645062444
"(64,98]",dmdiagnosed,Female,0.11728983769120502,0.11379519668719398,0.12078447869521605
"[18,39]",dmtreated,Female,0.005784119152347099,0.0054002819972637315,0.006167956307430467
"(39,64]",dmtreated,Female,0.054561356433788066,0.0531891155112827,0.055933597356293434
"(64,98]",dmtreated,Female,0.09413089513244333,0.09093684805986325,0.0973249422050234
"[18,39]",dmcontrolled,Female,0.003640011606561393,0.0033397401839972093,0.003940283029125577
"(39,64]",dmcontrolled,Female,0.028929632338326235,0.02797652217100495,0.02988274250564752
"(64,98]",dmcontrolled,Female,0.06043546310678744,0.05795237229794767,0.062918553915627215
"[18,39]",htnscreened,Female,0.5930957900235859,0.5893294385128184,0.5968621415343535
"(39,64]",htnscreened,Female,0.6878994283832863,0.6841018534480646,0.691697003318508
"(64,98]",htnscreened,Female,0.7039570098870566,0.6989408577459741,0.708973162028139
"[18,39]",htndisease,Female,0.12017152398108481,0.11831981390512793,0.1220232340570417
"(39,64]",htndisease,Female,0.3770046194039849,0.37413907464737267,0.3798701641605971
"(64,98]",htndisease,Female,0.5803387302613509,0.5754749110143517,0.58520254950835
"[18,39]",htndiagnosed,Female,0.05633407199172746,0.05477181532976926,0.05789632865368565
"(39,64]",htndiagnosed,Female,0.17107210797916786,0.16859408122117361,0.1735501347371621
"(64,98]",htndiagnosed,Female,0.30199942777715433,0.29714232769500337,0.3068565278593053
"[18,39]",htntreated,Female,0.012110803845502368,0.011620132882937144,0.012601474808067592
"(39,64]",htntreated,Female,0.1061405158632309,0.1043285051367098,0.10795252658975199
"(64,98]",htntreated,Female,0.23688950494443128,0.23244726272594735,0.24133174716291522
"[18,39]",htncontrolled,Female,0.00805505155707597,0.00765322863715992,0.008456874476992018
"(39,64]",htncontrolled,Female,0.04599310701500007,0.04484923961367824,0.0471369744163219
"(64,98]",htncontrolled,Female,0.09063243924686135,0.08773673518733306,0.09352814330638963
"[18,39]",prediabetes,Male,0.07011229480432235,0.06862011520278666,0.07160447440585804
"(39,64]",prediabetes,Male,0.16727974788663869,0.16494819307546021,0.16961130269781716
"(64,98]",prediabetes,Male,0.21789049645711014,0.21363401632191692,0.22214697659230337
"[18,39]",prehypertension,Male,0.1974034306569255,0.19516523723471357,0.19964162407913744
"(39,64]",prehypertension,Male,0.2516645151878841,0.24901758440159294,0.2543114459741752
"(64,98]",prehypertension,Male,0.23195426116534731,0.2276137141055393,0.23629480822515533
"[18,39]",dmscreened,Male,0.17757138680440837,0.17428570960345213,0.1808570640053646
"(39,64]",dmscreened,Male,0.3372277683567951,0.3331569450709174,0.34129859164267273
"(64,98]",dmscreened,Male,0.4194068358899328,0.4138407909180906,0.42497288086177504
"[18,39]",dmdisease,Male,0.020518365023293777,0.019752029925007554,0.02128470012158
"(39,64]",dmdisease,Male,0.09974400712154342,0.09784672228343703,0.10164129195964981
"(64,98]",dmdisease,Male,0.15100772288162737,0.14724274534811313,0.1547727004151416
"[18,39]",dmdiagnosed,Male,0.012528902981441584,0.011899926054593871,0.013157879908289297
"(39,64]",dmdiagnosed,Male,0.07034248935951606,0.06865571989862386,0.07202925882040827
"(64,98]",dmdiagnosed,Male,0.11908183962472306,0.11557078849925834,0.12259289075018778
"[18,39]",dmtreated,Male,0.0055110180887615315,0.005149103046035201,0.005872933131487862
"(39,64]",dmtreated,Male,0.05154865883471414,0.05016419977247419,0.052933117896954096
"(64,98]",dmtreated,Male,0.09376096253305195,0.09060364283134613,0.09691828223475778
"[18,39]",dmcontrolled,Male,0.0034403465366339638,0.003152504097442811,0.0037281889758251164
"(39,64]",dmcontrolled,Male,0.0278339196551161,0.026846681092222054,0.028821158218010144
"(64,98]",dmcontrolled,Male,0.05958423758870244,0.057061234319983375,0.0621072408574215
"[18,39]",htnscreened,Male,0.36844259584036065,0.3646272406577204,0.3722579510230009
"(39,64]",htnscreened,Male,0.5602660050452456,0.5561707292899611,0.56436128080053
"(64,98]",htnscreened,Male,0.6587557700549602,0.6537048995568411,0.6638066405530794
"[18,39]",htndisease,Male,0.1559068376470053,0.15365587792064353,0.15815779737336708
"(39,64]",htndisease,Male,0.37139069927238283,0.36830254320094163,0.374478855343824
"(64,98]",htndisease,Male,0.5139180251743461,0.508951537338362,0.5188845130103303
"[18,39]",htndiagnosed,Male,0.03165680053434078,0.030529664549029237,0.03278393651965232
"(39,64]",htndiagnosed,Male,0.12381584913553403,0.12162794850858753,0.12600374976248055
"(64,98]",htndiagnosed,Male,0.2373085868332558,0.23275714964481006,0.24186002402170156
"[18,39]",htntreated,Male,0.007658958934097064,0.007235071815144642,0.008082846053049486
"(39,64]",htntreated,Male,0.0742653106167651,0.07265830707050128,0.07587231416302892
"(64,98]",htntreated,Male,0.17506286375944738,0.17097629184278915,0.1791494356761056
"[18,39]",htncontrolled,Male,0.004051196911940538,0.0037497651978215404,0.004352628626059536
"(39,64]",htncontrolled,Male,0.02941435702050868,0.028399256602743957,0.030429457438273404
"(64,98]",htncontrolled,Male,0.07162565373230033,0.06898594323109507,0.07426536423350559
