hv025,variable,sex,est,lci,uci
1,prediabetes,NA,0.11932184299252907,0.11698767556894347,0.12165601041611467
2,prediabetes,NA,0.11012779057152286,0.108979635697778,0.11127594544526773
1,prehypertension,NA,0.19833948953072483,0.19560593938598986,0.2010730396754598
2,prehypertension,NA,0.1873162267761508,0.18599708151199879,0.18863537204030284
1,dmscreened,NA,0.37230251578568024,0.3647822600318586,0.3798227715395019
2,dmscreened,NA,0.26211554463470504,0.2583140653786956,0.2659170238907145
1,dmdisease,NA,0.08875772718841003,0.08647227647913408,0.09104317789768598
2,dmdisease,NA,0.0543940003411006,0.05334232414802555,0.05544567653417565
1,dmdiagnosed,NA,0.06823788732052878,0.06613038440086232,0.07034539024019525
2,dmdiagnosed,NA,0.03795017408952384,0.03696957580625886,0.03893077237278882
1,dmtreated,NA,0.053197764168033436,0.0515882147731393,0.05480731356292757
2,dmtreated,NA,0.02460764463404767,0.024028489490451232,0.025186799777644108
1,dmcontrolled,NA,0.030768505433846828,0.029654377369711216,0.03188263349798244
2,dmcontrolled,NA,0.01402246259935487,0.013634322149491411,0.01441060304921833
1,htnscreened,NA,0.5988695924684168,0.5917724184522563,0.6059667664845773
2,htnscreened,NA,0.5394218264648261,0.5358077741756258,0.5430358787540264
1,htndisease,NA,0.2980575335410682,0.2943565190217368,0.30175854806039953
2,htndisease,NA,0.2665643340832328,0.2644836068050526,0.26864506136141303
1,htndiagnosed,NA,0.13296410306638357,0.12986309905885976,0.13606510707390737
2,htndiagnosed,NA,0.10117872009000231,0.09948475574456031,0.10287268443544431
1,htntreated,NA,0.0885746083181465,0.08646874605612628,0.0906804705801667
2,htntreated,NA,0.05273591070770181,0.051877882436674384,0.05359393897872924
1,htncontrolled,NA,0.03821130868804479,0.036976669945691064,0.03944594743039851
2,htncontrolled,NA,0.022176706087806114,0.02168540130528516,0.022668010870327066
1,dmdiagnosed_in_dis,NA,0.7655479475002389,0.7570896669476677,0.7740062280528102
2,dmdiagnosed_in_dis,NA,0.6939111056396021,0.6867930261766948,0.7010291851025094
1,dmtreated_in_dis,NA,0.5968156513864968,0.5851360916468259,0.6084952111261678
2,dmtreated_in_dis,NA,0.44994570657087296,0.4417432483856434,0.45814816475610254
1,dmcontrolled_in_dis,NA,0.34518604117811164,0.3354869863531342,0.3548850960030891
2,dmcontrolled_in_dis,NA,0.2563978363618198,0.25032596162169224,0.26246971110194733
1,htndiagnosed_in_dis,NA,0.44214514002283084,0.4344195876726448,0.44987069237301686
2,htndiagnosed_in_dis,NA,0.3774605470150918,0.3726924140167679,0.3822286800134157
1,htntreated_in_dis,NA,0.2945368839719234,0.28851370401166193,0.3005600639321849
2,htntreated_in_dis,NA,0.19673826359298935,0.19391595421992597,0.19956057296605273
1,htncontrolled_in_dis,NA,0.12706395215478733,0.12319454290207209,0.13093336140750256
2,htncontrolled_in_dis,NA,0.08273312415347851,0.0809946388470948,0.08447160945986222
