state,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,zone
1,dm_screened,53.1,51,55.1,Proportion,"53.1 (51, 55.1)",54051,,NA,Jammu & Kashmir,North
1,dm_disease,4.2,3.8,4.6,Proportion,"4.2 (3.8, 4.6)",54051,,NA,Jammu & Kashmir,North
1,dm_diagnosed,3.8,3.5,4.2,Proportion,"3.8 (3.5, 4.2)",54051,,NA,Jammu & Kashmir,North
1,dm_treated,2.3,2.1,2.6,Proportion,"2.3 (2.1, 2.6)",54051,,NA,Jammu & Kashmir,North
1,dm_controlled,3,2.7,3.4,Proportion,"3 (2.7, 3.4)",54051,,NA,Jammu & Kashmir,North
2,dm_screened,52.1,49.9,54.2,Proportion,"52.1 (49.9, 54.2)",27056,,NA,Himachal Pradesh,North
2,dm_disease,0,0,0,Proportion,"0 (0, 0)",27056,,NA,Himachal Pradesh,North
2,dm_diagnosed,4.9,4.4,5.4,Proportion,"4.9 (4.4, 5.4)",27056,,NA,Himachal Pradesh,North
2,dm_treated,3.2,2.9,3.6,Proportion,"3.2 (2.9, 3.6)",27056,,NA,Himachal Pradesh,North
2,dm_controlled,2.9,2.5,3.4,Proportion,"2.9 (2.5, 3.4)",27056,,NA,Himachal Pradesh,North
3,dm_screened,53.7,51.8,55.5,Proportion,"53.7 (51.8, 55.5)",49803,,NA,Punjab,North
3,dm_disease,6.9,6.5,7.3,Proportion,"6.9 (6.5, 7.3)",49803,,NA,Punjab,North
3,dm_diagnosed,5.4,5,5.8,Proportion,"5.4 (5, 5.8)",49803,,NA,Punjab,North
3,dm_treated,4,3.7,4.3,Proportion,"4 (3.7, 4.3)",49803,,NA,Punjab,North
3,dm_controlled,2.4,2.2,2.7,Proportion,"2.4 (2.2, 2.7)",49803,,NA,Punjab,North
4,dm_screened,62.9,54.2,70.8,Proportion,"62.9 (54.2, 70.8)",1351,,NA,Chandigarh,North
4,dm_disease,0,0,0,Proportion,"0 (0, 0)",1351,,NA,Chandigarh,North
4,dm_diagnosed,0,0,0,Proportion,"0 (0, 0)",1351,,NA,Chandigarh,North
4,dm_treated,0,0,0,Proportion,"0 (0, 0)",1351,,NA,Chandigarh,North
4,dm_controlled,0,0,0,Proportion,"0 (0, 0)",1351,,NA,Chandigarh,North
5,dm_screened,38.7,36.3,41.2,Proportion,"38.7 (36.3, 41.2)",27816,,NA,Uttarakhand,Central
5,dm_disease,0,0,0,Proportion,"0 (0, 0)",27816,,NA,Uttarakhand,Central
5,dm_diagnosed,4.7,4.3,5.2,Proportion,"4.7 (4.3, 5.2)",27816,,NA,Uttarakhand,Central
5,dm_treated,3.3,2.9,3.7,Proportion,"3.3 (2.9, 3.7)",27816,,NA,Uttarakhand,Central
5,dm_controlled,2.6,2.3,2.9,Proportion,"2.6 (2.3, 2.9)",27816,,NA,Uttarakhand,Central
6,dm_screened,44.2,42.7,45.7,Proportion,"44.2 (42.7, 45.7)",49441,,NA,Haryana,North
6,dm_disease,5.9,5.5,6.4,Proportion,"5.9 (5.5, 6.4)",49441,,NA,Haryana,North
6,dm_diagnosed,4.7,4.3,5.2,Proportion,"4.7 (4.3, 5.2)",49441,,NA,Haryana,North
6,dm_treated,2.6,2.4,2.8,Proportion,"2.6 (2.4, 2.8)",49441,,NA,Haryana,North
6,dm_controlled,2.8,2.5,3.2,Proportion,"2.8 (2.5, 3.2)",49441,,NA,Haryana,North
7,dm_screened,58.8,56.6,60.9,Proportion,"58.8 (56.6, 60.9)",21341,,NA,Nct Of Delhi,North
7,dm_disease,0,0,0,Proportion,"0 (0, 0)",21341,,NA,Nct Of Delhi,North
7,dm_diagnosed,0,0,0,Proportion,"0 (0, 0)",21341,,NA,Nct Of Delhi,North
7,dm_treated,0,0,0,Proportion,"0 (0, 0)",21341,,NA,Nct Of Delhi,North
7,dm_controlled,0,0,0,Proportion,"0 (0, 0)",21341,,NA,Nct Of Delhi,North
8,dm_screened,19.3,18,20.6,Proportion,"19.3 (18, 20.6)",95376,,NA,Rajasthan,North
8,dm_disease,2.9,2.7,3.2,Proportion,"2.9 (2.7, 3.2)",95376,,NA,Rajasthan,North
8,dm_diagnosed,2.4,2.1,2.6,Proportion,"2.4 (2.1, 2.6)",95376,,NA,Rajasthan,North
8,dm_treated,1.2,1.1,1.3,Proportion,"1.2 (1.1, 1.3)",95376,,NA,Rajasthan,North
8,dm_controlled,1.7,1.5,2,Proportion,"1.7 (1.5, 2)",95376,,NA,Rajasthan,North
9,dm_screened,25.7,24.9,26.5,Proportion,"25.7 (24.9, 26.5)",192053,,NA,Uttar Pradesh,Central
9,dm_disease,4.6,4.4,4.8,Proportion,"4.6 (4.4, 4.8)",192053,,NA,Uttar Pradesh,Central
9,dm_diagnosed,3.4,3.2,3.6,Proportion,"3.4 (3.2, 3.6)",192053,,NA,Uttar Pradesh,Central
9,dm_treated,1.5,1.4,1.6,Proportion,"1.5 (1.4, 1.6)",192053,,NA,Uttar Pradesh,Central
9,dm_controlled,2.4,2.2,2.6,Proportion,"2.4 (2.2, 2.6)",192053,,NA,Uttar Pradesh,Central
10,dm_screened,16,15.1,16.9,Proportion,"16 (15.1, 16.9)",85848,,NA,Bihar,East
10,dm_disease,5.3,4.9,5.6,Proportion,"5.3 (4.9, 5.6)",85848,,NA,Bihar,East
10,dm_diagnosed,4,3.7,4.3,Proportion,"4 (3.7, 4.3)",85848,,NA,Bihar,East
10,dm_treated,2,1.8,2.2,Proportion,"2 (1.8, 2.2)",85848,,NA,Bihar,East
10,dm_controlled,2.6,2.4,2.9,Proportion,"2.6 (2.4, 2.9)",85848,,NA,Bihar,East
11,dm_screened,37.7,34.3,41.2,Proportion,"37.7 (34.3, 41.2)",7478,,NA,Sikkim,North East
11,dm_disease,0,0,0,Proportion,"0 (0, 0)",7478,,NA,Sikkim,North East
11,dm_diagnosed,0,0,0,Proportion,"0 (0, 0)",7478,,NA,Sikkim,North East
11,dm_treated,0,0,0,Proportion,"0 (0, 0)",7478,,NA,Sikkim,North East
11,dm_controlled,0,0,0,Proportion,"0 (0, 0)",7478,,NA,Sikkim,North East
12,dm_screened,30.7,28.8,32.7,Proportion,"30.7 (28.8, 32.7)",44242,,NA,Arunachal Pradesh,North East
12,dm_disease,3.6,3.1,4.1,Proportion,"3.6 (3.1, 4.1)",44242,,NA,Arunachal Pradesh,North East
12,dm_diagnosed,2.9,2.4,3.5,Proportion,"2.9 (2.4, 3.5)",44242,,NA,Arunachal Pradesh,North East
12,dm_treated,0.8,0.7,1,Proportion,"0.8 (0.7, 1)",44242,,NA,Arunachal Pradesh,North East
12,dm_controlled,2.3,1.9,2.8,Proportion,"2.3 (1.9, 2.8)",44242,,NA,Arunachal Pradesh,North East
13,dm_screened,0,0,0,Proportion,"0 (0, 0)",23227,,NA,Nagaland,North East
13,dm_disease,3,2.5,3.5,Proportion,"3 (2.5, 3.5)",23227,,NA,Nagaland,North East
13,dm_diagnosed,2.3,1.8,2.8,Proportion,"2.3 (1.8, 2.8)",23227,,NA,Nagaland,North East
13,dm_treated,1.1,0.9,1.4,Proportion,"1.1 (0.9, 1.4)",23227,,NA,Nagaland,North East
13,dm_controlled,1.3,0.9,1.8,Proportion,"1.3 (0.9, 1.8)",23227,,NA,Nagaland,North East
14,dm_screened,38.9,36.9,41,Proportion,"38.9 (36.9, 41)",20212,,NA,Manipur,North East
14,dm_disease,0,0,0,Proportion,"0 (0, 0)",20212,,NA,Manipur,North East
14,dm_diagnosed,0,0,0,Proportion,"0 (0, 0)",20212,,NA,Manipur,North East
14,dm_treated,0,0,0,Proportion,"0 (0, 0)",20212,,NA,Manipur,North East
14,dm_controlled,2.9,2.5,3.3,Proportion,"2.9 (2.5, 3.3)",20212,,NA,Manipur,North East
15,dm_screened,38.6,35.5,41.7,Proportion,"38.6 (35.5, 41.7)",18386,,NA,Mizoram,North East
15,dm_disease,0,0,0,Proportion,"0 (0, 0)",18386,,NA,Mizoram,North East
15,dm_diagnosed,0,0,0,Proportion,"0 (0, 0)",18386,,NA,Mizoram,North East
15,dm_treated,0,0,0,Proportion,"0 (0, 0)",18386,,NA,Mizoram,North East
15,dm_controlled,0,0,0,Proportion,"0 (0, 0)",18386,,NA,Mizoram,North East
16,dm_screened,33.8,30.8,37,Proportion,"33.8 (30.8, 37)",17322,,NA,Tripura,North East
16,dm_disease,0,0,0,Proportion,"0 (0, 0)",17322,,NA,Tripura,North East
16,dm_diagnosed,0,0,0,Proportion,"0 (0, 0)",17322,,NA,Tripura,North East
16,dm_treated,0,0,0,Proportion,"0 (0, 0)",17322,,NA,Tripura,North East
16,dm_controlled,2.3,1.9,2.7,Proportion,"2.3 (1.9, 2.7)",17322,,NA,Tripura,North East
17,dm_screened,0,0,0,Proportion,"0 (0, 0)",25563,,NA,Meghalaya,North East
17,dm_disease,2.2,1.9,2.7,Proportion,"2.2 (1.9, 2.7)",25563,,NA,Meghalaya,North East
17,dm_diagnosed,1.7,1.4,2.1,Proportion,"1.7 (1.4, 2.1)",25563,,NA,Meghalaya,North East
