residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata
Rural,dm_unscreened,41.2,40.3,42,Proportion,"41.2 (40.3, 42)",97996,,NA
Rural,dm_undiagnosed,60.9,60,61.8,Proportion,"60.9 (60, 61.8)",97996,,NA
Urban,dm_unscreened,25.3,24.3,26.4,Proportion,"25.3 (24.3, 26.4)",47103,,NA
Urban,dm_undiagnosed,49.3,48.1,50.4,Proportion,"49.3 (48.1, 50.4)",47103,,NA
Rural,dm_unscreened,39.2,38.1,40.4,Proportion,"39.2 (38.1, 40.4)",48902,sex,Female
Rural,dm_undiagnosed,58.8,57.6,60,Proportion,"58.8 (57.6, 60)",48902,sex,Female
Rural,dm_unscreened,43.4,42.4,44.4,Proportion,"43.4 (42.4, 44.4)",49094,sex,Male
Rural,dm_undiagnosed,63.4,62.4,64.4,Proportion,"63.4 (62.4, 64.4)",49094,sex,Male
Urban,dm_unscreened,23.2,21.9,24.6,Proportion,"23.2 (21.9, 24.6)",24202,sex,Female
Urban,dm_undiagnosed,46.8,45.2,48.3,Proportion,"46.8 (45.2, 48.3)",24202,sex,Female
Urban,dm_unscreened,27.6,26.4,28.9,Proportion,"27.6 (26.4, 28.9)",22901,sex,Male
Urban,dm_undiagnosed,52,50.7,53.3,Proportion,"52 (50.7, 53.3)",22901,sex,Male
Rural,dm_unscreened,46.4,45.1,47.7,Proportion,"46.4 (45.1, 47.7)",19622,age_category,18-39
Rural,dm_undiagnosed,65.1,63.7,66.5,Proportion,"65.1 (63.7, 66.5)",19622,age_category,18-39
Rural,dm_unscreened,35.6,34.9,36.3,Proportion,"35.6 (34.9, 36.3)",55329,age_category,40-64
Rural,dm_undiagnosed,56.6,55.9,57.4,Proportion,"56.6 (55.9, 57.4)",55329,age_category,40-64
Rural,dm_unscreened,31,30.1,31.9,Proportion,"31 (30.1, 31.9)",23045,age_category,65 plus
Rural,dm_undiagnosed,52.3,51.3,53.3,Proportion,"52.3 (51.3, 53.3)",23045,age_category,65 plus
Urban,dm_unscreened,35.8,33.8,37.8,Proportion,"35.8 (33.8, 37.8)",8164,age_category,18-39
Urban,dm_undiagnosed,58.9,56.6,61.1,Proportion,"58.9 (56.6, 61.1)",8164,age_category,18-39
Urban,dm_unscreened,19.4,18.5,20.3,Proportion,"19.4 (18.5, 20.3)",27853,age_category,40-64
Urban,dm_undiagnosed,44.6,43.6,45.7,Proportion,"44.6 (43.6, 45.7)",27853,age_category,40-64
Urban,dm_unscreened,13.6,12.6,14.7,Proportion,"13.6 (12.6, 14.7)",11086,age_category,65 plus
Urban,dm_undiagnosed,35.8,34.4,37.3,Proportion,"35.8 (34.4, 37.3)",11086,age_category,65 plus
Rural,dm_unscreened,31.1,29.3,32.9,Proportion,"31.1 (29.3, 32.9)",7019,education,Higher
Rural,dm_undiagnosed,51.3,49.3,53.4,Proportion,"51.3 (49.3, 53.4)",7019,education,Higher
Rural,dm_unscreened,47.7,46.2,49.2,Proportion,"47.7 (46.2, 49.2)",37420,education,No education
Rural,dm_undiagnosed,65.1,63.7,66.5,Proportion,"65.1 (63.7, 66.5)",37420,education,No education
Rural,dm_unscreened,41.2,39.6,42.9,Proportion,"41.2 (39.6, 42.9)",17799,education,Primary
