state,residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,zone
1,Rural,dm_unscreened,19.8,15.4,24.3,Proportion,"19.8 (15.4, 24.3)",2560,,NA,Jammu & Kashmir,North
1,Rural,dm_undiagnosed,38.3,33.1,43.5,Proportion,"38.3 (33.1, 43.5)",2560,,NA,Jammu & Kashmir,North
1,Urban,dm_unscreened,21.1,13.8,28.4,Proportion,"21.1 (13.8, 28.4)",675,,NA,Jammu & Kashmir,North
1,Urban,dm_undiagnosed,33.5,25.3,41.8,Proportion,"33.5 (25.3, 41.8)",675,,NA,Jammu & Kashmir,North
2,Rural,dm_unscreened,27,22.7,31.4,Proportion,"27 (22.7, 31.4)",2114,,NA,Himachal Pradesh,North
2,Rural,dm_undiagnosed,53.9,48.5,59.3,Proportion,"53.9 (48.5, 59.3)",2114,,NA,Himachal Pradesh,North
2,Urban,dm_unscreened,14.3,5.4,23.3,Proportion,"14.3 (5.4, 23.3)",244,,NA,Himachal Pradesh,North
2,Urban,dm_undiagnosed,50.9,38.3,63.5,Proportion,"50.9 (38.3, 63.5)",244,,NA,Himachal Pradesh,North
3,Rural,dm_unscreened,25.2,22.5,28,Proportion,"25.2 (22.5, 28)",3325,,NA,Punjab,North
3,Rural,dm_undiagnosed,52.2,48.8,55.6,Proportion,"52.2 (48.8, 55.6)",3325,,NA,Punjab,North
3,Urban,dm_unscreened,17.5,13.7,21.3,Proportion,"17.5 (13.7, 21.3)",1713,,NA,Punjab,North
3,Urban,dm_undiagnosed,49.6,43.7,55.4,Proportion,"49.6 (43.7, 55.4)",1713,,NA,Punjab,North
4,Rural,dm_unscreened,44.5,44.5,44.5,Proportion,"44.5 (44.5, 44.5)",6,,NA,Chandigarh,North
4,Rural,dm_undiagnosed,63.9,63.9,63.9,Proportion,"63.9 (63.9, 63.9)",6,,NA,Chandigarh,North
4,Urban,dm_unscreened,24.1,15,33.1,Proportion,"24.1 (15, 33.1)",179,,NA,Chandigarh,North
4,Urban,dm_undiagnosed,54,42.7,65.3,Proportion,"54 (42.7, 65.3)",179,,NA,Chandigarh,North
5,Rural,dm_unscreened,33.9,29.4,38.5,Proportion,"33.9 (29.4, 38.5)",1595,,NA,Uttarakhand,Central
5,Rural,dm_undiagnosed,57.5,52.7,62.4,Proportion,"57.5 (52.7, 62.4)",1595,,NA,Uttarakhand,Central
5,Urban,dm_unscreened,29,22.2,35.7,Proportion,"29 (22.2, 35.7)",605,,NA,Uttarakhand,Central
5,Urban,dm_undiagnosed,51.1,44.8,57.5,Proportion,"51.1 (44.8, 57.5)",605,,NA,Uttarakhand,Central
6,Rural,dm_unscreened,32.8,29.7,35.9,Proportion,"32.8 (29.7, 35.9)",2693,,NA,Haryana,North
6,Rural,dm_undiagnosed,54,50.2,57.7,Proportion,"54 (50.2, 57.7)",2693,,NA,Haryana,North
6,Urban,dm_unscreened,23.9,20,27.7,Proportion,"23.9 (20, 27.7)",1653,,NA,Haryana,North
6,Urban,dm_undiagnosed,43.7,38.7,48.8,Proportion,"43.7 (38.7, 48.8)",1653,,NA,Haryana,North
7,Rural,dm_unscreened,7.8,-3.9,19.5,Proportion,"7.8 (-3.9, 19.5)",59,,NA,Nct Of Delhi,North
7,Rural,dm_undiagnosed,47.9,14.9,81,Proportion,"47.9 (14.9, 81)",59,,NA,Nct Of Delhi,North
7,Urban,dm_unscreened,16.6,14,19.1,Proportion,"16.6 (14, 19.1)",2130,,NA,Nct Of Delhi,North
7,Urban,dm_undiagnosed,45.3,41.9,48.8,Proportion,"45.3 (41.9, 48.8)",2130,,NA,Nct Of Delhi,North
8,Rural,dm_unscreened,45.9,42,49.9,Proportion,"45.9 (42, 49.9)",3361,,NA,Rajasthan,North
8,Rural,dm_undiagnosed,58.5,54.2,62.7,Proportion,"58.5 (54.2, 62.7)",3361,,NA,Rajasthan,North
8,Urban,dm_unscreened,25.5,20.3,30.7,Proportion,"25.5 (20.3, 30.7)",1322,,NA,Rajasthan,North
8,Urban,dm_undiagnosed,36.9,30.7,43.2,Proportion,"36.9 (30.7, 43.2)",1322,,NA,Rajasthan,North
9,Rural,dm_unscreened,40.9,38.7,43.1,Proportion,"40.9 (38.7, 43.1)",10852,,NA,Uttar Pradesh,Central
9,Rural,dm_undiagnosed,55.6,53.1,58.2,Proportion,"55.6 (53.1, 58.2)",10852,,NA,Uttar Pradesh,Central
9,Urban,dm_unscreened,31.9,28.4,35.4,Proportion,"31.9 (28.4, 35.4)",3064,,NA,Uttar Pradesh,Central
9,Urban,dm_undiagnosed,53.9,49.7,58.1,Proportion,"53.9 (49.7, 58.1)",3064,,NA,Uttar Pradesh,Central
10,Rural,dm_unscreened,53.8,51.5,56.1,Proportion,"53.8 (51.5, 56.1)",6497,,NA,Bihar,East
10,Rural,dm_undiagnosed,63.6,61.2,66.1,Proportion,"63.6 (61.2, 66.1)",6497,,NA,Bihar,East
10,Urban,dm_unscreened,37,31.7,42.2,Proportion,"37 (31.7, 42.2)",1222,,NA,Bihar,East
10,Urban,dm_undiagnosed,53,47.1,59,Proportion,"53 (47.1, 59)",1222,,NA,Bihar,East
11,Rural,dm_unscreened,27.9,22.2,33.6,Proportion,"27.9 (22.2, 33.6)",483,,NA,Sikkim,North East
11,Rural,dm_undiagnosed,55.3,48.6,62,Proportion,"55.3 (48.6, 62)",483,,NA,Sikkim,North East
11,Urban,dm_unscreened,21,7.9,34.1,Proportion,"21 (7.9, 34.1)",115,,NA,Sikkim,North East
11,Urban,dm_undiagnosed,38.7,22.4,55,Proportion,"38.7 (22.4, 55)",115,,NA,Sikkim,North East
12,Rural,dm_unscreened,40.3,35.1,45.4,Proportion,"40.3 (35.1, 45.4)",2317,,NA,Arunachal Pradesh,North East
12,Rural,dm_undiagnosed,57,50.5,63.5,Proportion,"57 (50.5, 63.5)",2317,,NA,Arunachal Pradesh,North East
12,Urban,dm_unscreened,24.5,18.5,30.6,Proportion,"24.5 (18.5, 30.6)",817,,NA,Arunachal Pradesh,North East
12,Urban,dm_undiagnosed,42.1,34.3,49.9,Proportion,"42.1 (34.3, 49.9)",817,,NA,Arunachal Pradesh,North East
13,Rural,dm_unscreened,61.5,54.3,68.7,Proportion,"61.5 (54.3, 68.7)",981,,NA,Nagaland,North East
13,Rural,dm_undiagnosed,77.2,70.9,83.5,Proportion,"77.2 (70.9, 83.5)",981,,NA,Nagaland,North East
13,Urban,dm_unscreened,38.7,29.3,48,Proportion,"38.7 (29.3, 48)",469,,NA,Nagaland,North East
13,Urban,dm_undiagnosed,54,43,65,Proportion,"54 (43, 65)",469,,NA,Nagaland,North East
14,Rural,dm_unscreened,41.9,37.5,46.4,Proportion,"41.9 (37.5, 46.4)",1197,,NA,Manipur,North East
14,Rural,dm_undiagnosed,64.6,61,68.3,Proportion,"64.6 (61, 68.3)",1197,,NA,Manipur,North East
14,Urban,dm_unscreened,32.5,27,38.1,Proportion,"32.5 (27, 38.1)",658,,NA,Manipur,North East
14,Urban,dm_undiagnosed,56.9,51.3,62.6,Proportion,"56.9 (51.3, 62.6)",658,,NA,Manipur,North East
15,Rural,dm_unscreened,48.4,39.4,57.3,Proportion,"48.4 (39.4, 57.3)",721,,NA,Mizoram,North East
15,Rural,dm_undiagnosed,64.3,56.9,71.7,Proportion,"64.3 (56.9, 71.7)",721,,NA,Mizoram,North East
15,Urban,dm_unscreened,26.1,21.2,31,Proportion,"26.1 (21.2, 31)",748,,NA,Mizoram,North East
15,Urban,dm_undiagnosed,50.8,44.7,56.9,Proportion,"50.8 (44.7, 56.9)",748,,NA,Mizoram,North East
16,Rural,dm_unscreened,47.9,43.5,52.2,Proportion,"47.9 (43.5, 52.2)",1380,,NA,Tripura,North East
