REGCODE,REGNAME,n5_state,v024,variable,estimate,lci,uci,strata,est_ci
1,Kupwara,Jammu & Kashmir,1,Unscreened,1,-0.5,2.5,Total,"1 (-0.5, 2.5)"
1,Kupwara,Jammu & Kashmir,1,Undiagnosed,3.6,-1.7,8.9,Total,"3.6 (-1.7, 8.9)"
2,Badgam,Jammu & Kashmir,1,Unscreened,0,0,0,Total,"0 (0, 0)"
2,Badgam,Jammu & Kashmir,1,Undiagnosed,2,-0.8,4.8,Total,"2 (-0.8, 4.8)"
3,Leh,Ladakh,37,Unscreened,0,0,0,Total,"0 (0, 0)"
3,Leh,Ladakh,37,Undiagnosed,1.1,-1.1,3.3,Total,"1.1 (-1.1, 3.3)"
4,Kargil,Ladakh,37,Unscreened,0,0,0,Total,"0 (0, 0)"
4,Kargil,Ladakh,37,Undiagnosed,0,0,0,Total,"0 (0, 0)"
5,Punch,Jammu & Kashmir,1,Unscreened,2.8,-0.4,5.9,Total,"2.8 (-0.4, 5.9)"
5,Punch,Jammu & Kashmir,1,Undiagnosed,5.6,1.8,9.5,Total,"5.6 (1.8, 9.5)"
6,Rajouri,Jammu & Kashmir,1,Unscreened,2.9,-1.2,7,Total,"2.9 (-1.2, 7)"
6,Rajouri,Jammu & Kashmir,1,Undiagnosed,4.4,-0.6,9.5,Total,"4.4 (-0.6, 9.5)"
7,Kathua,Jammu & Kashmir,1,Unscreened,15.6,6.2,25,Total,"15.6 (6.2, 25)"
7,Kathua,Jammu & Kashmir,1,Undiagnosed,25.2,12.4,37.9,Total,"25.2 (12.4, 37.9)"
8,Baramula,Jammu & Kashmir,1,Unscreened,5.5,1.4,9.5,Total,"5.5 (1.4, 9.5)"
8,Baramula,Jammu & Kashmir,1,Undiagnosed,17.7,9,26.4,Total,"17.7 (9, 26.4)"
9,Bandipore,Jammu & Kashmir,1,Unscreened,6.5,1.7,11.2,Total,"6.5 (1.7, 11.2)"
9,Bandipore,Jammu & Kashmir,1,Undiagnosed,13.3,5.5,21.1,Total,"13.3 (5.5, 21.1)"
10,Srinagar,Jammu & Kashmir,1,Unscreened,2.6,-0.3,5.4,Total,"2.6 (-0.3, 5.4)"
10,Srinagar,Jammu & Kashmir,1,Undiagnosed,4.3,1,7.7,Total,"4.3 (1, 7.7)"
11,Ganderbal,Jammu & Kashmir,1,Unscreened,2.4,0,4.8,Total,"2.4 (0, 4.8)"
11,Ganderbal,Jammu & Kashmir,1,Undiagnosed,8.5,3.4,13.7,Total,"8.5 (3.4, 13.7)"
