REGCODE,REGNAME,n5_state,v024,variable,estimate,lci,uci,strata,est_ci
1,Kupwara,Jammu & Kashmir,1,Screened,49.6,41.7,57.4,Total,"49.6 (41.7, 57.4)"
1,Kupwara,Jammu & Kashmir,1,Diabetes,5,2.6,7.5,Total,"5 (2.6, 7.5)"
2,Badgam,Jammu & Kashmir,1,Screened,59.8,52.1,67.4,Total,"59.8 (52.1, 67.4)"
2,Badgam,Jammu & Kashmir,1,Diabetes,4.7,2.9,6.5,Total,"4.7 (2.9, 6.5)"
3,Leh,Ladakh,37,Screened,59.3,51.9,66.8,Total,"59.3 (51.9, 66.8)"
3,Leh,Ladakh,37,Diabetes,2.7,1.5,3.9,Total,"2.7 (1.5, 3.9)"
4,Kargil,Ladakh,37,Screened,52,44.5,59.6,Total,"52 (44.5, 59.6)"
4,Kargil,Ladakh,37,Diabetes,12.4,6.4,18.4,Total,"12.4 (6.4, 18.4)"
5,Punch,Jammu & Kashmir,1,Screened,50.9,41.5,60.3,Total,"50.9 (41.5, 60.3)"
5,Punch,Jammu & Kashmir,1,Diabetes,5.3,3.8,6.9,Total,"5.3 (3.8, 6.9)"
6,Rajouri,Jammu & Kashmir,1,Screened,67.2,58.8,75.5,Total,"67.2 (58.8, 75.5)"
6,Rajouri,Jammu & Kashmir,1,Diabetes,2.6,1.7,3.6,Total,"2.6 (1.7, 3.6)"
7,Kathua,Jammu & Kashmir,1,Screened,65,56.3,73.7,Total,"65 (56.3, 73.7)"
7,Kathua,Jammu & Kashmir,1,Diabetes,2.3,1.4,3.1,Total,"2.3 (1.4, 3.1)"
8,Baramula,Jammu & Kashmir,1,Screened,49.7,43.5,55.9,Total,"49.7 (43.5, 55.9)"
8,Baramula,Jammu & Kashmir,1,Diabetes,4.5,3.4,5.6,Total,"4.5 (3.4, 5.6)"
9,Bandipore,Jammu & Kashmir,1,Screened,38.2,32.6,43.8,Total,"38.2 (32.6, 43.8)"
9,Bandipore,Jammu & Kashmir,1,Diabetes,6.6,3.9,9.3,Total,"6.6 (3.9, 9.3)"
10,Srinagar,Jammu & Kashmir,1,Screened,53.4,45.6,61.1,Total,"53.4 (45.6, 61.1)"
10,Srinagar,Jammu & Kashmir,1,Diabetes,4.9,3.5,6.2,Total,"4.9 (3.5, 6.2)"
11,Ganderbal,Jammu & Kashmir,1,Screened,45.2,39.6,50.7,Total,"45.2 (39.6, 50.7)"
11,Ganderbal,Jammu & Kashmir,1,Diabetes,5.2,3.9,6.4,Total,"5.2 (3.9, 6.4)"
12,Pulwama,Jammu & Kashmir,1,Screened,56.8,50.3,63.3,Total,"56.8 (50.3, 63.3)"
12,Pulwama,Jammu & Kashmir,1,Diabetes,5.2,4,6.3,Total,"5.2 (4, 6.3)"
13,Shupiyan,Jammu & Kashmir,1,Screened,65.4,59.1,71.8,Total,"65.4 (59.1, 71.8)"
13,Shupiyan,Jammu & Kashmir,1,Diabetes,5,3.3,6.8,Total,"5 (3.3, 6.8)"
14,Anantnag,Jammu & Kashmir,1,Screened,57.5,48.6,66.3,Total,"57.5 (48.6, 66.3)"
14,Anantnag,Jammu & Kashmir,1,Diabetes,3.8,2.5,5.2,Total,"3.8 (2.5, 5.2)"
15,Kulgam,Jammu & Kashmir,1,Screened,60.8,54.3,67.3,Total,"60.8 (54.3, 67.3)"
15,Kulgam,Jammu & Kashmir,1,Diabetes,2.4,1.6,3.1,Total,"2.4 (1.6, 3.1)"
16,Doda,Jammu & Kashmir,1,Screened,40,34.4,45.6,Total,"40 (34.4, 45.6)"
16,Doda,Jammu & Kashmir,1,Diabetes,3.1,2,4.3,Total,"3.1 (2, 4.3)"
17,Ramban,Jammu & Kashmir,1,Screened,52.2,42.1,62.2,Total,"52.2 (42.1, 62.2)"
17,Ramban,Jammu & Kashmir,1,Diabetes,4.5,1.2,7.8,Total,"4.5 (1.2, 7.8)"
18,Kishtwar,Jammu & Kashmir,1,Screened,38.6,29.8,47.4,Total,"38.6 (29.8, 47.4)"
18,Kishtwar,Jammu & Kashmir,1,Diabetes,5.7,3.5,7.9,Total,"5.7 (3.5, 7.9)"
19,Udhampur,Jammu & Kashmir,1,Screened,64.5,56.3,72.6,Total,"64.5 (56.3, 72.6)"
19,Udhampur,Jammu & Kashmir,1,Diabetes,4.4,3,5.8,Total,"4.4 (3, 5.8)"
20,Reasi,Jammu & Kashmir,1,Screened,44.7,36.8,52.6,Total,"44.7 (36.8, 52.6)"
20,Reasi,Jammu & Kashmir,1,Diabetes,3.1,2.2,4,Total,"3.1 (2.2, 4)"
21,Jammu,Jammu & Kashmir,1,Screened,51,43.9,58,Total,"51 (43.9, 58)"
21,Jammu,Jammu & Kashmir,1,Diabetes,5.3,3.9,6.7,Total,"5.3 (3.9, 6.7)"
22,Samba,Jammu & Kashmir,1,Screened,43.7,36,51.5,Total,"43.7 (36, 51.5)"
22,Samba,Jammu & Kashmir,1,Diabetes,4.8,3.3,6.2,Total,"4.8 (3.3, 6.2)"
23,Chamba,Himachal Pradesh,2,Screened,44.4,39,49.8,Total,"44.4 (39, 49.8)"
23,Chamba,Himachal Pradesh,2,Diabetes,3.9,2.6,5.1,Total,"3.9 (2.6, 5.1)"
24,Kangra,Himachal Pradesh,2,Screened,47.3,41,53.7,Total,"47.3 (41, 53.7)"
24,Kangra,Himachal Pradesh,2,Diabetes,6.9,5.8,8,Total,"6.9 (5.8, 8)"
25,Lahul & Spiti,Himachal Pradesh,2,Screened,49.8,44.4,55.2,Total,"49.8 (44.4, 55.2)"
25,Lahul & Spiti,Himachal Pradesh,2,Diabetes,1.3,0.8,1.8,Total,"1.3 (0.8, 1.8)"
26,Kullu,Himachal Pradesh,2,Screened,46.8,41.6,51.9,Total,"46.8 (41.6, 51.9)"
26,Kullu,Himachal Pradesh,2,Diabetes,7.2,3.7,10.6,Total,"7.2 (3.7, 10.6)"
27,Mandi,Himachal Pradesh,2,Screened,53.2,47.5,59,Total,"53.2 (47.5, 59)"
27,Mandi,Himachal Pradesh,2,Diabetes,3.9,2.8,5.1,Total,"3.9 (2.8, 5.1)"
28,Hamirpur,Himachal Pradesh,2,Screened,55.6,50.8,60.3,Total,"55.6 (50.8, 60.3)"
28,Hamirpur,Himachal Pradesh,2,Diabetes,7.7,6,9.4,Total,"7.7 (6, 9.4)"
29,Una,Himachal Pradesh,2,Screened,46.6,43,50.2,Total,"46.6 (43, 50.2)"
29,Una,Himachal Pradesh,2,Diabetes,8.7,7.1,10.3,Total,"8.7 (7.1, 10.3)"
30,Bilaspur,Himachal Pradesh,2,Screened,45.9,41.7,50.1,Total,"45.9 (41.7, 50.1)"
30,Bilaspur,Himachal Pradesh,2,Diabetes,4.2,3.4,5.1,Total,"4.2 (3.4, 5.1)"
31,Solan,Himachal Pradesh,2,Screened,47.2,43.6,50.8,Total,"47.2 (43.6, 50.8)"
31,Solan,Himachal Pradesh,2,Diabetes,3.9,3.1,4.7,Total,"3.9 (3.1, 4.7)"
32,Sirmaur,Himachal Pradesh,2,Screened,56,52.1,59.9,Total,"56 (52.1, 59.9)"
32,Sirmaur,Himachal Pradesh,2,Diabetes,5.4,3.6,7.1,Total,"5.4 (3.6, 7.1)"
33,Shimla,Himachal Pradesh,2,Screened,59.4,54,64.9,Total,"59.4 (54, 64.9)"
33,Shimla,Himachal Pradesh,2,Diabetes,3.4,2.4,4.3,Total,"3.4 (2.4, 4.3)"
34,Kinnaur,Himachal Pradesh,2,Screened,60.3,55.2,65.5,Total,"60.3 (55.2, 65.5)"
