state,n5_state,residence,variable,estimate,lci,uci,stratification,strata,est_ci,ST_NM
1,Jammu & Kashmir,Rural,Screened,51.8,49.5,54.1,,Total,"51.8 (49.5, 54.1)",Jammu & Kashmir
1,Jammu & Kashmir,Rural,Diabetes,3.9,3.5,4.3,,Total,"3.9 (3.5, 4.3)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Screened,56.5,52.2,60.9,,Total,"56.5 (52.2, 60.9)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Diabetes,5,4.2,5.8,,Total,"5 (4.2, 5.8)",Jammu & Kashmir
2,Himachal Pradesh,Rural,Screened,51.1,48.9,53.4,,Total,"51.1 (48.9, 53.4)",Himachal Pradesh
2,Himachal Pradesh,Rural,Diabetes,5.8,5.2,6.4,,Total,"5.8 (5.2, 6.4)",Himachal Pradesh
2,Himachal Pradesh,Urban,Screened,58.3,53,63.5,,Total,"58.3 (53, 63.5)",Himachal Pradesh
2,Himachal Pradesh,Urban,Diabetes,7.3,5.4,9.3,,Total,"7.3 (5.4, 9.3)",Himachal Pradesh
3,Punjab,Rural,Screened,50.7,48.5,52.9,,Total,"50.7 (48.5, 52.9)",Punjab
3,Punjab,Rural,Diabetes,6.2,5.8,6.6,,Total,"6.2 (5.8, 6.6)",Punjab
3,Punjab,Urban,Screened,58.8,55.6,62,,Total,"58.8 (55.6, 62)",Punjab
3,Punjab,Urban,Diabetes,8,7.2,8.8,,Total,"8 (7.2, 8.8)",Punjab
4,Chandigarh,Rural,Screened,52.3,52.3,52.3,,Total,"52.3 (52.3, 52.3)",Chandigarh
4,Chandigarh,Rural,Diabetes,9.1,9.1,9.1,,Total,"9.1 (9.1, 9.1)",Chandigarh
4,Chandigarh,Urban,Screened,63,54.8,71.2,,Total,"63 (54.8, 71.2)",Chandigarh
4,Chandigarh,Urban,Diabetes,9.3,7.4,11.2,,Total,"9.3 (7.4, 11.2)",Chandigarh
