state,n5_state,residence,variable,estimate,lci,uci,stratification,strata,est_ci,ST_NM
1,Jammu & Kashmir,Rural,Screened,52.7,50.5,55,,Total,"52.7 (50.5, 55)",Jammu & Kashmir
1,Jammu & Kashmir,Rural,Diabetes,4.2,3.7,4.6,,Total,"4.2 (3.7, 4.6)",Jammu & Kashmir
1,Jammu & Kashmir,Rural,Diagnosed,3.8,3.4,4.2,,Total,"3.8 (3.4, 4.2)",Jammu & Kashmir
1,Jammu & Kashmir,Rural,Treated,2.2,2,2.5,,Total,"2.2 (2, 2.5)",Jammu & Kashmir
1,Jammu & Kashmir,Rural,Controlled,3,2.6,3.4,,Total,"3 (2.6, 3.4)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Screened,56.8,52.5,61.1,,Total,"56.8 (52.5, 61.1)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Diabetes,5.1,4.2,5.9,,Total,"5.1 (4.2, 5.9)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Diagnosed,4.8,3.9,5.6,,Total,"4.8 (3.9, 5.6)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Treated,3,2.4,3.7,,Total,"3 (2.4, 3.7)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Controlled,3.6,2.8,4.4,,Total,"3.6 (2.8, 4.4)",Jammu & Kashmir
2,Himachal Pradesh,Rural,Screened,49.8,47.6,52,,Total,"49.8 (47.6, 52)",Himachal Pradesh
2,Himachal Pradesh,Rural,Diabetes,5.2,4.7,5.7,,Total,"5.2 (4.7, 5.7)",Himachal Pradesh
2,Himachal Pradesh,Rural,Diagnosed,4.2,3.7,4.7,,Total,"4.2 (3.7, 4.7)",Himachal Pradesh
2,Himachal Pradesh,Rural,Treated,2.6,2.3,2.8,,Total,"2.6 (2.3, 2.8)",Himachal Pradesh
2,Himachal Pradesh,Rural,Controlled,2.6,2.2,3,,Total,"2.6 (2.2, 3)",Himachal Pradesh
2,Himachal Pradesh,Urban,Screened,57.9,52.9,62.8,,Total,"57.9 (52.9, 62.8)",Himachal Pradesh
2,Himachal Pradesh,Urban,Diabetes,7.2,5.5,8.9,,Total,"7.2 (5.5, 8.9)",Himachal Pradesh
2,Himachal Pradesh,Urban,Diagnosed,6.1,4.6,7.6,,Total,"6.1 (4.6, 7.6)",Himachal Pradesh
2,Himachal Pradesh,Urban,Treated,4.9,3.7,6,,Total,"4.9 (3.7, 6)",Himachal Pradesh
2,Himachal Pradesh,Urban,Controlled,3.4,2.3,4.4,,Total,"3.4 (2.3, 4.4)",Himachal Pradesh
3,Punjab,Rural,Screened,50.7,48.5,52.9,,Total,"50.7 (48.5, 52.9)",Punjab
3,Punjab,Rural,Diabetes,6.2,5.8,6.5,,Total,"6.2 (5.8, 6.5)",Punjab
3,Punjab,Rural,Diagnosed,4.7,4.4,5.1,,Total,"4.7 (4.4, 5.1)",Punjab
3,Punjab,Rural,Treated,3.4,3.1,3.6,,Total,"3.4 (3.1, 3.6)",Punjab
3,Punjab,Rural,Controlled,2.2,1.9,2.4,,Total,"2.2 (1.9, 2.4)",Punjab
3,Punjab,Urban,Screened,58.6,55.4,61.7,,Total,"58.6 (55.4, 61.7)",Punjab
3,Punjab,Urban,Diabetes,7.9,7.2,8.6,,Total,"7.9 (7.2, 8.6)",Punjab
3,Punjab,Urban,Diagnosed,6.3,5.6,7.1,,Total,"6.3 (5.6, 7.1)",Punjab
3,Punjab,Urban,Treated,4.9,4.4,5.5,,Total,"4.9 (4.4, 5.5)",Punjab
3,Punjab,Urban,Controlled,2.8,2.4,3.3,,Total,"2.8 (2.4, 3.3)",Punjab
4,Chandigarh,Rural,Screened,52.1,52.1,52.1,,Total,"52.1 (52.1, 52.1)",Chandigarh
4,Chandigarh,Rural,Diabetes,10.9,10.9,10.9,,Total,"10.9 (10.9, 10.9)",Chandigarh
4,Chandigarh,Rural,Diagnosed,9.1,9.1,9.1,,Total,"9.1 (9.1, 9.1)",Chandigarh
4,Chandigarh,Rural,Treated,9.1,9.1,9.1,,Total,"9.1 (9.1, 9.1)",Chandigarh
4,Chandigarh,Rural,Controlled,3.7,3.7,3.7,,Total,"3.7 (3.7, 3.7)",Chandigarh
4,Chandigarh,Urban,Screened,63.8,56.2,71.5,,Total,"63.8 (56.2, 71.5)",Chandigarh
4,Chandigarh,Urban,Diabetes,9.7,7.8,11.6,,Total,"9.7 (7.8, 11.6)",Chandigarh
4,Chandigarh,Urban,Diagnosed,7.7,5.9,9.5,,Total,"7.7 (5.9, 9.5)",Chandigarh
4,Chandigarh,Urban,Treated,6.6,5,8.3,,Total,"6.6 (5, 8.3)",Chandigarh
4,Chandigarh,Urban,Controlled,2.9,1.8,4,,Total,"2.9 (1.8, 4)",Chandigarh
5,Uttarakhand,Rural,Screened,34.2,31.6,36.7,,Total,"34.2 (31.6, 36.7)",Uttarakhand
5,Uttarakhand,Rural,Diabetes,4.6,4.1,5,,Total,"4.6 (4.1, 5)",Uttarakhand
5,Uttarakhand,Rural,Diagnosed,3.6,3.2,4,,Total,"3.6 (3.2, 4)",Uttarakhand
5,Uttarakhand,Rural,Treated,2.3,1.9,2.6,,Total,"2.3 (1.9, 2.6)",Uttarakhand
5,Uttarakhand,Rural,Controlled,1.9,1.6,2.2,,Total,"1.9 (1.6, 2.2)",Uttarakhand
5,Uttarakhand,Urban,Screened,50.4,45.8,55,,Total,"50.4 (45.8, 55)",Uttarakhand
5,Uttarakhand,Urban,Diabetes,9.7,8.6,10.8,,Total,"9.7 (8.6, 10.8)",Uttarakhand
5,Uttarakhand,Urban,Diagnosed,7.9,6.8,8.9,,Total,"7.9 (6.8, 8.9)",Uttarakhand
5,Uttarakhand,Urban,Treated,5.9,5.1,6.8,,Total,"5.9 (5.1, 6.8)",Uttarakhand
5,Uttarakhand,Urban,Controlled,4.3,3.4,5.1,,Total,"4.3 (3.4, 5.1)",Uttarakhand
6,Haryana,Rural,Screened,41.2,39.5,42.9,,Total,"41.2 (39.5, 42.9)",Haryana
6,Haryana,Rural,Diabetes,5.1,4.6,5.6,,Total,"5.1 (4.6, 5.6)",Haryana
6,Haryana,Rural,Diagnosed,3.8,3.3,4.2,,Total,"3.8 (3.3, 4.2)",Haryana
6,Haryana,Rural,Treated,2,1.8,2.2,,Total,"2 (1.8, 2.2)",Haryana
6,Haryana,Rural,Controlled,2.3,1.9,2.6,,Total,"2.3 (1.9, 2.6)",Haryana
6,Haryana,Urban,Screened,51.6,49.1,54.2,,Total,"51.6 (49.1, 54.2)",Haryana
6,Haryana,Urban,Diabetes,8.2,7.2,9.1,,Total,"8.2 (7.2, 9.1)",Haryana
6,Haryana,Urban,Diagnosed,7.1,6.1,8,,Total,"7.1 (6.1, 8)",Haryana
6,Haryana,Urban,Treated,4.2,3.8,4.6,,Total,"4.2 (3.8, 4.6)",Haryana
6,Haryana,Urban,Controlled,4.2,3.4,5,,Total,"4.2 (3.4, 5)",Haryana
