REGCODE,REGNAME,n5_state,v024,variable,estimate,lci,uci,strata,est_ci
1,Kupwara,Jammu & Kashmir,1,Screened,48,40.2,55.9,Total,"48 (40.2, 55.9)"
1,Kupwara,Jammu & Kashmir,1,Diabetes,4.5,2.2,6.8,Total,"4.5 (2.2, 6.8)"
2,Badgam,Jammu & Kashmir,1,Screened,59.1,51.4,66.9,Total,"59.1 (51.4, 66.9)"
2,Badgam,Jammu & Kashmir,1,Diabetes,4.4,2.6,6.2,Total,"4.4 (2.6, 6.2)"
3,Leh,Ladakh,37,Screened,59,51.6,66.5,Total,"59 (51.6, 66.5)"
3,Leh,Ladakh,37,Diabetes,2.5,1.5,3.6,Total,"2.5 (1.5, 3.6)"
4,Kargil,Ladakh,37,Screened,50.4,42.9,57.9,Total,"50.4 (42.9, 57.9)"
4,Kargil,Ladakh,37,Diabetes,11.3,5.5,17.2,Total,"11.3 (5.5, 17.2)"
5,Punch,Jammu & Kashmir,1,Screened,49.7,40.3,59.1,Total,"49.7 (40.3, 59.1)"
5,Punch,Jammu & Kashmir,1,Diabetes,4.9,3.5,6.4,Total,"4.9 (3.5, 6.4)"
6,Rajouri,Jammu & Kashmir,1,Screened,66.5,58.2,74.8,Total,"66.5 (58.2, 74.8)"
6,Rajouri,Jammu & Kashmir,1,Diabetes,2.3,1.4,3.1,Total,"2.3 (1.4, 3.1)"
7,Kathua,Jammu & Kashmir,1,Screened,65.3,56.6,74.1,Total,"65.3 (56.6, 74.1)"
7,Kathua,Jammu & Kashmir,1,Diabetes,2.3,1.4,3.1,Total,"2.3 (1.4, 3.1)"
8,Baramula,Jammu & Kashmir,1,Screened,48,41.8,54.1,Total,"48 (41.8, 54.1)"
8,Baramula,Jammu & Kashmir,1,Diabetes,4.2,3.1,5.2,Total,"4.2 (3.1, 5.2)"
9,Bandipore,Jammu & Kashmir,1,Screened,37.3,31.6,43,Total,"37.3 (31.6, 43)"
9,Bandipore,Jammu & Kashmir,1,Diabetes,6.2,3.5,8.8,Total,"6.2 (3.5, 8.8)"
10,Srinagar,Jammu & Kashmir,1,Screened,53.1,45.2,61.1,Total,"53.1 (45.2, 61.1)"
10,Srinagar,Jammu & Kashmir,1,Diabetes,4.8,3.5,6.1,Total,"4.8 (3.5, 6.1)"
11,Ganderbal,Jammu & Kashmir,1,Screened,44,38.4,49.6,Total,"44 (38.4, 49.6)"
11,Ganderbal,Jammu & Kashmir,1,Diabetes,4.9,3.7,6.1,Total,"4.9 (3.7, 6.1)"
12,Pulwama,Jammu & Kashmir,1,Screened,55.8,49.3,62.3,Total,"55.8 (49.3, 62.3)"
12,Pulwama,Jammu & Kashmir,1,Diabetes,4.9,3.7,6,Total,"4.9 (3.7, 6)"
13,Shupiyan,Jammu & Kashmir,1,Screened,64.5,58.2,70.7,Total,"64.5 (58.2, 70.7)"
13,Shupiyan,Jammu & Kashmir,1,Diabetes,4.7,3,6.4,Total,"4.7 (3, 6.4)"
14,Anantnag,Jammu & Kashmir,1,Screened,57.2,48.1,66.3,Total,"57.2 (48.1, 66.3)"
14,Anantnag,Jammu & Kashmir,1,Diabetes,3.8,2.4,5.1,Total,"3.8 (2.4, 5.1)"
15,Kulgam,Jammu & Kashmir,1,Screened,59.9,53.3,66.4,Total,"59.9 (53.3, 66.4)"
15,Kulgam,Jammu & Kashmir,1,Diabetes,2.2,1.5,2.8,Total,"2.2 (1.5, 2.8)"
16,Doda,Jammu & Kashmir,1,Screened,39.1,33.6,44.6,Total,"39.1 (33.6, 44.6)"
16,Doda,Jammu & Kashmir,1,Diabetes,2.9,1.8,4,Total,"2.9 (1.8, 4)"
17,Ramban,Jammu & Kashmir,1,Screened,51.2,41.1,61.2,Total,"51.2 (41.1, 61.2)"
17,Ramban,Jammu & Kashmir,1,Diabetes,4.3,1,7.5,Total,"4.3 (1, 7.5)"
18,Kishtwar,Jammu & Kashmir,1,Screened,38.1,29.3,46.9,Total,"38.1 (29.3, 46.9)"
18,Kishtwar,Jammu & Kashmir,1,Diabetes,5.5,3.3,7.6,Total,"5.5 (3.3, 7.6)"
19,Udhampur,Jammu & Kashmir,1,Screened,63.7,55.6,71.8,Total,"63.7 (55.6, 71.8)"
19,Udhampur,Jammu & Kashmir,1,Diabetes,4.2,2.7,5.6,Total,"4.2 (2.7, 5.6)"
20,Reasi,Jammu & Kashmir,1,Screened,43.5,35.6,51.4,Total,"43.5 (35.6, 51.4)"
20,Reasi,Jammu & Kashmir,1,Diabetes,2.7,1.9,3.4,Total,"2.7 (1.9, 3.4)"
