state,n5_state,residence,variable,estimate,lci,uci,stratification,strata,est_ci,ST_NM
1,Jammu & Kashmir,Rural,Screened,51.8,49.5,54.1,,Total,"51.8 (49.5, 54.1)",Jammu & Kashmir
1,Jammu & Kashmir,Rural,Diabetes,3.9,3.5,4.3,,Total,"3.9 (3.5, 4.3)",Jammu & Kashmir
1,Jammu & Kashmir,Rural,Diagnosed,3.5,3.1,3.9,,Total,"3.5 (3.1, 3.9)",Jammu & Kashmir
1,Jammu & Kashmir,Rural,Treated,2.1,1.8,2.3,,Total,"2.1 (1.8, 2.3)",Jammu & Kashmir
1,Jammu & Kashmir,Rural,Controlled,2.9,2.5,3.2,,Total,"2.9 (2.5, 3.2)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Screened,56.5,52.2,60.9,,Total,"56.5 (52.2, 60.9)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Diabetes,5,4.2,5.8,,Total,"5 (4.2, 5.8)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Diagnosed,4.7,3.8,5.5,,Total,"4.7 (3.8, 5.5)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Treated,2.9,2.3,3.6,,Total,"2.9 (2.3, 3.6)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Controlled,3.5,2.8,4.3,,Total,"3.5 (2.8, 4.3)",Jammu & Kashmir
2,Himachal Pradesh,Rural,Screened,51.1,48.9,53.4,,Total,"51.1 (48.9, 53.4)",Himachal Pradesh
2,Himachal Pradesh,Rural,Diabetes,5.8,5.2,6.4,,Total,"5.8 (5.2, 6.4)",Himachal Pradesh
2,Himachal Pradesh,Rural,Diagnosed,4.7,4.2,5.2,,Total,"4.7 (4.2, 5.2)",Himachal Pradesh
2,Himachal Pradesh,Rural,Treated,2.9,2.6,3.3,,Total,"2.9 (2.6, 3.3)",Himachal Pradesh
2,Himachal Pradesh,Rural,Controlled,2.8,2.4,3.3,,Total,"2.8 (2.4, 3.3)",Himachal Pradesh
