state,residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,zone
1,Rural,dm_unscreened,3.1,1.7,4.4,Proportion,"3.1 (1.7, 4.4)",1761,,NA,Jammu & Kashmir,North
1,Rural,dm_undiagnosed,7,4.6,9.3,Proportion,"7 (4.6, 9.3)",1761,,NA,Jammu & Kashmir,North
1,Urban,dm_unscreened,2.9,1.2,4.7,Proportion,"2.9 (1.2, 4.7)",488,,NA,Jammu & Kashmir,North
1,Urban,dm_undiagnosed,5.1,2.9,7.4,Proportion,"5.1 (2.9, 7.4)",488,,NA,Jammu & Kashmir,North
2,Rural,dm_unscreened,11.9,6.4,17.3,Proportion,"11.9 (6.4, 17.3)",1270,,NA,Himachal Pradesh,North
2,Rural,dm_undiagnosed,20.3,14.5,26,Proportion,"20.3 (14.5, 26)",1270,,NA,Himachal Pradesh,North
2,Urban,dm_unscreened,6.8,0.5,13.1,Proportion,"6.8 (0.5, 13.1)",174,,NA,Himachal Pradesh,North
2,Urban,dm_undiagnosed,19.5,8.3,30.6,Proportion,"19.5 (8.3, 30.6)",174,,NA,Himachal Pradesh,North
3,Rural,dm_unscreened,10.6,7.8,13.5,Proportion,"10.6 (7.8, 13.5)",2163,,NA,Punjab,North
3,Rural,dm_undiagnosed,31.1,26.1,36.1,Proportion,"31.1 (26.1, 36.1)",2163,,NA,Punjab,North
3,Urban,dm_unscreened,9.3,6.1,12.5,Proportion,"9.3 (6.1, 12.5)",1205,,NA,Punjab,North
3,Urban,dm_undiagnosed,22.5,17.7,27.3,Proportion,"22.5 (17.7, 27.3)",1205,,NA,Punjab,North
4,Rural,dm_unscreened,33.5,20.3,46.8,Proportion,"33.5 (20.3, 46.8)",4,,NA,Chandigarh,North
4,Rural,dm_undiagnosed,33.5,20.3,46.8,Proportion,"33.5 (20.3, 46.8)",4,,NA,Chandigarh,North
4,Urban,dm_unscreened,12.8,-1.4,27,Proportion,"12.8 (-1.4, 27)",118,,NA,Chandigarh,North
4,Urban,dm_undiagnosed,27.4,3.9,50.8,Proportion,"27.4 (3.9, 50.8)",118,,NA,Chandigarh,North
5,Rural,dm_unscreened,11.3,6.1,16.5,Proportion,"11.3 (6.1, 16.5)",888,,NA,Uttarakhand,Central
5,Rural,dm_undiagnosed,21.5,14.2,28.8,Proportion,"21.5 (14.2, 28.8)",888,,NA,Uttarakhand,Central
5,Urban,dm_unscreened,26,13.8,38.2,Proportion,"26 (13.8, 38.2)",423,,NA,Uttarakhand,Central
5,Urban,dm_undiagnosed,34.7,22.5,47,Proportion,"34.7 (22.5, 47)",423,,NA,Uttarakhand,Central
6,Rural,dm_unscreened,13.6,9.3,17.9,Proportion,"13.6 (9.3, 17.9)",1630,,NA,Haryana,North
