state,residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata
1,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",44116,,NA
1,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",44116,,NA
1,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",44116,,NA
1,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",44116,,NA
1,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",44116,,NA
1,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",9935,,NA
1,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",9935,,NA
1,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",9935,,NA
1,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",9935,,NA
1,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",9935,,NA
2,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",24969,,NA
2,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",24969,,NA
2,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",24969,,NA
2,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",24969,,NA
2,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",24969,,NA
2,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",2087,,NA
2,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",2087,,NA
2,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",2087,,NA
2,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",2087,,NA
2,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",2087,,NA
3,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",34594,,NA
3,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",34594,,NA
3,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",34594,,NA
3,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",34594,,NA
3,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",34594,,NA
3,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",15209,,NA
3,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",15209,,NA
3,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",15209,,NA
3,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",15209,,NA
3,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",15209,,NA
4,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",44,,NA
4,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",44,,NA
4,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",44,,NA
4,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",44,,NA
4,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",44,,NA
4,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",1307,,NA
4,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",1307,,NA
4,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",1307,,NA
4,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",1307,,NA
4,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",1307,,NA
5,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",22928,,NA
5,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",22928,,NA
5,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",22928,,NA
5,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",22928,,NA
5,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",22928,,NA
5,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",4888,,NA
5,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",4888,,NA
5,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",4888,,NA
5,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",4888,,NA
5,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",4888,,NA
6,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",34499,,NA
6,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",34499,,NA
6,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",34499,,NA
6,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",34499,,NA
6,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",34499,,NA
6,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",14942,,NA
6,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",14942,,NA
6,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",14942,,NA
6,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",14942,,NA
6,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",14942,,NA
7,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",820,,NA
7,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",820,,NA
7,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",820,,NA
7,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",820,,NA
7,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",820,,NA
7,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",20521,,NA
7,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",20521,,NA
7,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",20521,,NA
7,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",20521,,NA
7,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",20521,,NA
8,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",74638,,NA
8,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",74638,,NA
8,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",74638,,NA
8,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",74638,,NA
8,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",74638,,NA
8,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",20738,,NA
8,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",20738,,NA
8,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",20738,,NA
8,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",20738,,NA
8,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",20738,,NA
9,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",155168,,NA
9,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",155168,,NA
9,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",155168,,NA
9,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",155168,,NA
9,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",155168,,NA
9,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",36885,,NA
9,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",36885,,NA
9,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",36885,,NA
9,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",36885,,NA
9,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",36885,,NA
10,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",75991,,NA
10,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",75991,,NA
10,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",75991,,NA
10,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",75991,,NA
10,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",75991,,NA
10,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",9857,,NA
10,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",9857,,NA
10,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",9857,,NA
10,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",9857,,NA
10,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",9857,,NA
11,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",6457,,NA
11,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",6457,,NA
11,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",6457,,NA
11,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",6457,,NA
11,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",6457,,NA
11,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",1021,,NA
11,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",1021,,NA
11,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",1021,,NA
11,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",1021,,NA
11,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",1021,,NA
