REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
1,dm_screened,50,42.1,58,Proportion,"50 (42.1, 58)",2878,,NA,Jammu & Kashmir,1,Kupwara
1,dm_disease,4.4,2.2,6.6,Proportion,"4.4 (2.2, 6.6)",2878,,NA,Jammu & Kashmir,1,Kupwara
1,dm_diagnosed,4.3,2.1,6.5,Proportion,"4.3 (2.1, 6.5)",2878,,NA,Jammu & Kashmir,1,Kupwara
1,dm_treated,1.7,1,2.5,Proportion,"1.7 (1, 2.5)",2878,,NA,Jammu & Kashmir,1,Kupwara
1,dm_controlled,3.9,1.7,6,Proportion,"3.9 (1.7, 6)",2878,,NA,Jammu & Kashmir,1,Kupwara
2,dm_screened,60.5,52.9,68.1,Proportion,"60.5 (52.9, 68.1)",2874,,NA,Jammu & Kashmir,1,Badgam
2,dm_disease,4.7,2.7,6.7,Proportion,"4.7 (2.7, 6.7)",2874,,NA,Jammu & Kashmir,1,Badgam
2,dm_diagnosed,4.4,2.5,6.2,Proportion,"4.4 (2.5, 6.2)",2874,,NA,Jammu & Kashmir,1,Badgam
2,dm_treated,2.3,1.1,3.4,Proportion,"2.3 (1.1, 3.4)",2874,,NA,Jammu & Kashmir,1,Badgam
2,dm_controlled,3.4,1.7,5,Proportion,"3.4 (1.7, 5)",2874,,NA,Jammu & Kashmir,1,Badgam
3,dm_screened,58.8,51.6,66,Proportion,"58.8 (51.6, 66)",2745,,NA,Ladakh,37,Leh
3,dm_disease,2,1.2,2.9,Proportion,"2 (1.2, 2.9)",2745,,NA,Ladakh,37,Leh
3,dm_diagnosed,2,1.2,2.9,Proportion,"2 (1.2, 2.9)",2745,,NA,Ladakh,37,Leh
3,dm_treated,0.7,0.3,1.1,Proportion,"0.7 (0.3, 1.1)",2745,,NA,Ladakh,37,Leh
3,dm_controlled,1.8,1,2.6,Proportion,"1.8 (1, 2.6)",2745,,NA,Ladakh,37,Leh
4,dm_screened,54.7,46.5,62.8,Proportion,"54.7 (46.5, 62.8)",2913,,NA,Ladakh,37,Kargil
4,dm_disease,12.9,6.3,19.4,Proportion,"12.9 (6.3, 19.4)",2913,,NA,Ladakh,37,Kargil
4,dm_diagnosed,12.9,6.3,19.4,Proportion,"12.9 (6.3, 19.4)",2913,,NA,Ladakh,37,Kargil
4,dm_treated,3.7,2.2,5.3,Proportion,"3.7 (2.2, 5.3)",2913,,NA,Ladakh,37,Kargil
4,dm_controlled,11.5,4.9,18,Proportion,"11.5 (4.9, 18)",2913,,NA,Ladakh,37,Kargil
