Level1,Level2,Level3,Level4,Level5,ST_NM,estimate,lci,uci,est_ci,nfhs5_statecode,nfhs5_statename
Crude,Rural,Diabetes,Total,Total,Jammu & Kashmir,3.9,3.5,4.3,"3.9 (3.5, 4.3)",1,Jammu & Kashmir
Crude,Urban,Diabetes,Total,Total,Jammu & Kashmir,5,4.2,5.8,"5 (4.2, 5.8)",1,Jammu & Kashmir
Crude,Rural,Diabetes,Total,Total,Himachal Pradesh,5.8,5.2,6.4,"5.8 (5.2, 6.4)",2,Himachal Pradesh
Crude,Urban,Diabetes,Total,Total,Himachal Pradesh,7.3,5.4,9.3,"7.3 (5.4, 9.3)",2,Himachal Pradesh
Crude,Rural,Diabetes,Total,Total,Punjab,6.2,5.8,6.6,"6.2 (5.8, 6.6)",3,Punjab
Crude,Urban,Diabetes,Total,Total,Punjab,8,7.2,8.8,"8 (7.2, 8.8)",3,Punjab
Crude,Rural,Diabetes,Total,Total,Chandigarh,9.1,9.1,9.1,"9.1 (9.1, 9.1)",4,Chandigarh
Crude,Urban,Diabetes,Total,Total,Chandigarh,9.3,7.4,11.2,"9.3 (7.4, 11.2)",4,Chandigarh
Crude,Rural,Diabetes,Total,Total,Uttarakhand,4.6,4.2,5.1,"4.6 (4.2, 5.1)",5,Uttarakhand
Crude,Urban,Diabetes,Total,Total,Uttarakhand,9.1,7.9,10.3,"9.1 (7.9, 10.3)",5,Uttarakhand
Crude,Rural,Diabetes,Total,Total,Haryana,5,4.5,5.4,"5 (4.5, 5.4)",6,Haryana
Crude,Urban,Diabetes,Total,Total,Haryana,7.8,6.8,8.7,"7.8 (6.8, 8.7)",6,Haryana
Crude,Rural,Diabetes,Total,Total,Delhi,6.2,1.3,11,"6.2 (1.3, 11)",7,Nct Of Delhi
Crude,Urban,Diabetes,Total,Total,Delhi,7.7,7.2,8.2,"7.7 (7.2, 8.2)",7,Nct Of Delhi
Crude,Rural,Diabetes,Total,Total,Rajasthan,2.3,2.1,2.6,"2.3 (2.1, 2.6)",8,Rajasthan
Crude,Urban,Diabetes,Total,Total,Rajasthan,4.7,4,5.4,"4.7 (4, 5.4)",8,Rajasthan
Crude,Rural,Diabetes,Total,Total,Uttar Pradesh,4.3,4,4.5,"4.3 (4, 4.5)",9,Uttar Pradesh
Crude,Urban,Diabetes,Total,Total,Uttar Pradesh,5.6,5.1,6.1,"5.6 (5.1, 6.1)",9,Uttar Pradesh
Crude,Rural,Diabetes,Total,Total,Bihar,4.6,4.3,4.9,"4.6 (4.3, 4.9)",10,Bihar
Crude,Urban,Diabetes,Total,Total,Bihar,8.4,7.2,9.5,"8.4 (7.2, 9.5)",10,Bihar
Crude,Rural,Diabetes,Total,Total,Sikkim,4.6,3.8,5.5,"4.6 (3.8, 5.5)",11,Sikkim
Crude,Urban,Diabetes,Total,Total,Sikkim,7.1,4.9,9.3,"7.1 (4.9, 9.3)",11,Sikkim
Crude,Rural,Diabetes,Total,Total,Arunachal Pradesh,3.1,2.5,3.7,"3.1 (2.5, 3.7)",12,Arunachal Pradesh
Crude,Urban,Diabetes,Total,Total,Arunachal Pradesh,6.1,4.7,7.5,"6.1 (4.7, 7.5)",12,Arunachal Pradesh
Crude,Rural,Diabetes,Total,Total,Nagaland,2.2,1.7,2.6,"2.2 (1.7, 2.6)",13,Nagaland
Crude,Urban,Diabetes,Total,Total,Nagaland,4.6,3.3,5.8,"4.6 (3.3, 5.8)",13,Nagaland
Crude,Rural,Diabetes,Total,Total,Manipur,5,4.3,5.7,"5 (4.3, 5.7)",14,Manipur
Crude,Urban,Diabetes,Total,Total,Manipur,8.5,7.3,9.7,"8.5 (7.3, 9.7)",14,Manipur
Crude,Rural,Diabetes,Total,Total,Mizoram,3.7,3,4.5,"3.7 (3, 4.5)",15,Mizoram
Crude,Urban,Diabetes,Total,Total,Mizoram,6.8,5.6,8,"6.8 (5.6, 8)",15,Mizoram
Crude,Rural,Diabetes,Total,Total,Tripura,4.2,3.7,4.7,"4.2 (3.7, 4.7)",16,Tripura
Crude,Urban,Diabetes,Total,Total,Tripura,8.4,6.9,9.9,"8.4 (6.9, 9.9)",16,Tripura
Crude,Rural,Diabetes,Total,Total,Meghalaya,1.6,1.3,2,"1.6 (1.3, 2)",17,Meghalaya
Crude,Urban,Diabetes,Total,Total,Meghalaya,4.8,3.6,5.9,"4.8 (3.6, 5.9)",17,Meghalaya
Crude,Rural,Diabetes,Total,Total,Assam,3.6,3.3,3.9,"3.6 (3.3, 3.9)",18,Assam
Crude,Urban,Diabetes,Total,Total,Assam,7.4,6.5,8.3,"7.4 (6.5, 8.3)",18,Assam
Crude,Rural,Diabetes,Total,Total,West Bengal,4.2,3.9,4.5,"4.2 (3.9, 4.5)",19,West Bengal
Crude,Urban,Diabetes,Total,Total,West Bengal,6.3,5.6,7,"6.3 (5.6, 7)",19,West Bengal
Crude,Rural,Diabetes,Total,Total,Jharkhand,3.9,3.4,4.4,"3.9 (3.4, 4.4)",20,Jharkhand
Crude,Urban,Diabetes,Total,Total,Jharkhand,7.6,6.4,8.8,"7.6 (6.4, 8.8)",20,Jharkhand
Crude,Rural,Diabetes,Total,Total,Odisha,4.7,4.3,5.1,"4.7 (4.3, 5.1)",21,Odisha
Crude,Urban,Diabetes,Total,Total,Odisha,9.1,8,10.2,"9.1 (8, 10.2)",21,Odisha
Crude,Rural,Diabetes,Total,Total,Chhattisgarh,3.2,2.9,3.6,"3.2 (2.9, 3.6)",22,Chhattisgarh
Crude,Urban,Diabetes,Total,Total,Chhattisgarh,6.3,5.3,7.3,"6.3 (5.3, 7.3)",22,Chhattisgarh
Crude,Rural,Diabetes,Total,Total,Madhya Pradesh,2.5,2.3,2.7,"2.5 (2.3, 2.7)",23,Madhya Pradesh
Crude,Urban,Diabetes,Total,Total,Madhya Pradesh,4.8,4.3,5.3,"4.8 (4.3, 5.3)",23,Madhya Pradesh
Crude,Rural,Diabetes,Total,Total,Gujarat,3.5,3.2,3.7,"3.5 (3.2, 3.7)",24,Gujarat
Crude,Urban,Diabetes,Total,Total,Gujarat,5.7,5.3,6.2,"5.7 (5.3, 6.2)",24,Gujarat
Crude,Rural,Diabetes,Total,Total,Dadra & Nagar Haveli And Daman & Diu,3.9,2.8,5,"3.9 (2.8, 5)",25,Dadra & Nagar Haveli And Daman & Diu
Crude,Urban,Diabetes,Total,Total,Dadra & Nagar Haveli And Daman & Diu,5.3,4,6.7,"5.3 (4, 6.7)",25,Dadra & Nagar Haveli And Daman & Diu
Crude,Rural,Diabetes,Total,Total,Maharashtra,3.8,3.5,4,"3.8 (3.5, 4)",27,Maharashtra
Crude,Urban,Diabetes,Total,Total,Maharashtra,6.6,6.1,7.2,"6.6 (6.1, 7.2)",27,Maharashtra
Crude,Rural,Diabetes,Total,Total,Andhra Pradesh,8.8,8.2,9.4,"8.8 (8.2, 9.4)",28,Andhra Pradesh
Crude,Urban,Diabetes,Total,Total,Andhra Pradesh,13.4,12.2,14.7,"13.4 (12.2, 14.7)",28,Andhra Pradesh
Crude,Rural,Diabetes,Total,Total,Karnataka,5.5,5.2,5.9,"5.5 (5.2, 5.9)",29,Karnataka
Crude,Urban,Diabetes,Total,Total,Karnataka,8.6,7.7,9.5,"8.6 (7.7, 9.5)",29,Karnataka
Crude,Rural,Diabetes,Total,Total,Goa,11.8,10,13.5,"11.8 (10, 13.5)",30,Goa
Crude,Urban,Diabetes,Total,Total,Goa,10.7,9.2,12.2,"10.7 (9.2, 12.2)",30,Goa
Crude,Rural,Diabetes,Total,Total,Lakshadweep,9.1,7.2,11.1,"9.1 (7.2, 11.1)",31,Lakshadweep
Crude,Urban,Diabetes,Total,Total,Lakshadweep,10.4,8.7,12.1,"10.4 (8.7, 12.1)",31,Lakshadweep
Crude,Rural,Diabetes,Total,Total,Kerala,17.2,16.3,18,"17.2 (16.3, 18)",32,Kerala
Crude,Urban,Diabetes,Total,Total,Kerala,16.9,16,17.8,"16.9 (16, 17.8)",32,Kerala
Crude,Rural,Diabetes,Total,Total,Tamil Nadu,12.2,11.1,13.3,"12.2 (11.1, 13.3)",33,Tamil Nadu
Crude,Urban,Diabetes,Total,Total,Tamil Nadu,15.9,14.7,17,"15.9 (14.7, 17)",33,Tamil Nadu
Crude,Rural,Diabetes,Total,Total,Puducherry,8.5,6.6,10.4,"8.5 (6.6, 10.4)",34,Puducherry
Crude,Urban,Diabetes,Total,Total,Puducherry,14.7,12.7,16.7,"14.7 (12.7, 16.7)",34,Puducherry
Crude,Rural,Diabetes,Total,Total,Andaman & Nicobar,7.6,6.2,9,"7.6 (6.2, 9)",35,Andaman & Nicobar Islands
Crude,Urban,Diabetes,Total,Total,Andaman & Nicobar,9.3,7.5,11.1,"9.3 (7.5, 11.1)",35,Andaman & Nicobar Islands
Crude,Rural,Diabetes,Total,Total,Telangana,6.3,6,6.6,"6.3 (6, 6.6)",36,Telangana
Crude,Urban,Diabetes,Total,Total,Telangana,11.4,10.5,12.3,"11.4 (10.5, 12.3)",36,Telangana
Crude,Rural,Diabetes,Total,Total,Ladakh,6.3,2.9,9.7,"6.3 (2.9, 9.7)",37,Ladakh
Crude,Urban,Diabetes,Total,Total,Ladakh,9.7,1.3,18.1,"9.7 (1.3, 18.1)",37,Ladakh
Crude,Rural,Diabetes,Sex,Female,Jammu & Kashmir,4.5,4,5,"4.5 (4, 5)",1,Jammu & Kashmir
Crude,Rural,Diabetes,Sex,Male,Jammu & Kashmir,3.3,2.9,3.7,"3.3 (2.9, 3.7)",1,Jammu & Kashmir
Crude,Urban,Diabetes,Sex,Female,Jammu & Kashmir,5.8,4.7,6.8,"5.8 (4.7, 6.8)",1,Jammu & Kashmir
Crude,Urban,Diabetes,Sex,Male,Jammu & Kashmir,4.1,3.3,4.9,"4.1 (3.3, 4.9)",1,Jammu & Kashmir
Crude,Rural,Diabetes,Sex,Female,Himachal Pradesh,6.3,5.5,7.2,"6.3 (5.5, 7.2)",2,Himachal Pradesh
Crude,Rural,Diabetes,Sex,Male,Himachal Pradesh,5.2,4.5,5.8,"5.2 (4.5, 5.8)",2,Himachal Pradesh
Crude,Urban,Diabetes,Sex,Female,Himachal Pradesh,8.2,6.1,10.3,"8.2 (6.1, 10.3)",2,Himachal Pradesh
Crude,Urban,Diabetes,Sex,Male,Himachal Pradesh,6.4,4.1,8.7,"6.4 (4.1, 8.7)",2,Himachal Pradesh
