Level1,Level2,Level3,REGNAME,REGCODE,estimate,lci,uci,est_ci,nfhs5_statecode,nfhs5_statename
Crude,Diabetes,Total,Kupwara,1,4.5,2.2,6.8,"4.5 (2.2, 6.8)",1,Jammu & Kashmir
Crude,Diabetes,Total,Badgam,2,4.4,2.6,6.2,"4.4 (2.6, 6.2)",1,Jammu & Kashmir
Crude,Diabetes,Total,Leh,3,2.5,1.5,3.6,"2.5 (1.5, 3.6)",37,Ladakh
Crude,Diabetes,Total,Kargil,4,11.3,5.5,17.2,"11.3 (5.5, 17.2)",37,Ladakh
Crude,Diabetes,Total,Punch,5,4.9,3.5,6.4,"4.9 (3.5, 6.4)",1,Jammu & Kashmir
Crude,Diabetes,Total,Rajouri,6,2.3,1.4,3.1,"2.3 (1.4, 3.1)",1,Jammu & Kashmir
Crude,Diabetes,Total,Kathua,7,2.3,1.4,3.1,"2.3 (1.4, 3.1)",1,Jammu & Kashmir
Crude,Diabetes,Total,Baramula,8,4.2,3.1,5.2,"4.2 (3.1, 5.2)",1,Jammu & Kashmir
Crude,Diabetes,Total,Bandipore,9,6.2,3.5,8.8,"6.2 (3.5, 8.8)",1,Jammu & Kashmir
Crude,Diabetes,Total,Srinagar,10,4.8,3.5,6.1,"4.8 (3.5, 6.1)",1,Jammu & Kashmir
Crude,Diabetes,Total,Ganderbal,11,4.9,3.7,6.1,"4.9 (3.7, 6.1)",1,Jammu & Kashmir
Crude,Diabetes,Total,Pulwama,12,4.9,3.7,6,"4.9 (3.7, 6)",1,Jammu & Kashmir
Crude,Diabetes,Total,Shupiyan,13,4.7,3,6.4,"4.7 (3, 6.4)",1,Jammu & Kashmir
Crude,Diabetes,Total,Anantnag,14,3.8,2.4,5.1,"3.8 (2.4, 5.1)",1,Jammu & Kashmir
Crude,Diabetes,Total,Kulgam,15,2.2,1.5,2.8,"2.2 (1.5, 2.8)",1,Jammu & Kashmir
Crude,Diabetes,Total,Doda,16,2.9,1.8,4,"2.9 (1.8, 4)",1,Jammu & Kashmir
Crude,Diabetes,Total,Ramban,17,4.3,1,7.5,"4.3 (1, 7.5)",1,Jammu & Kashmir
Crude,Diabetes,Total,Kishtwar,18,5.5,3.3,7.6,"5.5 (3.3, 7.6)",1,Jammu & Kashmir
Crude,Diabetes,Total,Udhampur,19,4.2,2.7,5.6,"4.2 (2.7, 5.6)",1,Jammu & Kashmir
Crude,Diabetes,Total,Reasi,20,2.7,1.9,3.4,"2.7 (1.9, 3.4)",1,Jammu & Kashmir
Crude,Diabetes,Total,Jammu,21,5.2,3.8,6.6,"5.2 (3.8, 6.6)",1,Jammu & Kashmir
